1. Shelfmark	2. Part	3. Author	4. Works	5. Language(s)	6. Format	7. Support	8. Binding	9. Decoration, Illustrations	10. Date	11. Not before (year)	12. Not after (year)	13.Origin 1	14.Origin 2	15. Provenance	16. Page number in Coxe	17. IMOCL	18. IMEP page number	19. Notes	20. Bibliography
			Locutiones super heptateuchum	Latin					s. XIII or XIV										
		Anon.	Quaestiones theologicae et de praedicamentis	Latin					s. XIII or XIV										
		Gregory, I, Pope, approximately 540-604	Cognomento Magni Dialogorum libri quatuor	Latin					s. XIII										
		Gregory, I, Pope, approximately 540-604	Pastoralis libri duo	Latin					s. XIII										
		Quintilian, Ps. [?]	Declamationes	Latin					s. XIII or XIV										
			Fragmentum dialogi inter Trismegistrum et Asclepium	Latin					s. XIII or XIV										
		William of Conches, pseudo	Philosophiae compendium	Latin				11 diagrams and 2 world maps	s. XIIex.										
		Seneca, Lucius Annaeus, the elder, approximately 55 B.C.-approximately 39 A.D.	Opuscula varia	Latin															
University College MS. 7			Psalter, with Sarum hymns	Latin	codex	vellum	16th-century, purple velvet repaired with purple reversed calf.	Decorated initials and full-page bar-boarders with dragons at divisions	s. XIVex.	1370	1400	France	Paris	 "Note (largely erased), fol. 138v, saec. xv ed., 'Jehan …(diepp … enfant de … cathedralle) … de Rouen'." (IMOCL)	3	Cat. No. 742			
University College MS. 8				Latin	codex	vellum	Contemporary leather over bevelled wooden boards.	 "Miniatures (unfinished) in Flemish style inserted on separate leaves. Good penwork initials." (IMOCL)	s. XVmed.	1440	1470	England		"olim, ut videtur ex insignibus gentilis in fronte depictis, eujusdam e familia de Percy, postea Roberti Lover, e dono dominæ Greete de Midhurst, viduæ x. Jul. 1549." (Coxe) "Arms of the Percy family on an added leaf, cut down, fol. 4v. Given to Robert Lover, 10 July 1549, by Greete de Medhurst in Sussex, fol. 107." (IMOCL) Ownership inscription at f. 107 possibly enhanced by William Smith: "Robert Lovehers booke geuen of gentle maistres Greete wydowe at Medhurst the x of Julye, anno Domini 1549, Sussex, clearke there in Medhurst predict." (PTB)					
			Tabula ad inveniendum Pascha	Latin															
			Kalendarium, monostichis instructum	Latin															
			Book of Hours, Use of Sarum	Latin															
			Prayers to St Osith	Latin															
University College MS. 9			Breviary (Carmelite)	Latin	codex	vellum	English blind-stamped leather with panels showing Martin and the beggar bordered with scenes of the hunt.	"Fine borders, initials. Fine penwork initials." (IMOCL)	s. XVIin.	1500	1525	England		"Made for English use. More English saints added in the calendar, saec. xv. Obits 'matris mee', 1585. Ann Mansfield, Ann Conyers, saec. xvi." (IMOCL)	3	Cat. No. 745			
University College MS. 10					codex	vellum	18th-century calf gilt (lacking clasps)	Painted cuts. 	s. XVIin.	1500	1525	France		Printed in Paris by Philippe Pigouchet. Made for Guillaume Eustace, 15 June 1508. "olim Margaretæ Gallot." (Coxe) Note at f. 127 reads, 'Ce present livre appartient a Marguerite Gallot'. 	4				
	1		Book of Hours, Use of Rome	Latin															
	2		Les vepres de la sepmaine, avec complies, les hymnes, et proses de l'année	Latin ; French															
University College MS. 11					codex	vellum	Contemporary brown leather over wooden boards		s. XVex.	1475	1500	England			4				
			Axiomata e jure civili præcipue collecta	Latin															
			Tabula contentorum secundæ partis Codicis	Latin															
			Axiomata philosophica juridicialia	Latin															
			Notabilia theologica	Latin															
		Alexander, de Villa Dei	Summarium Bibliæ	Latin															
			Tituli dierum Dominicalium	Latin															
			Versus ordinem SS. Bibliorum (taken from Genesis, Exodus, Leviticus, Numbers, Deuteronomy, Joshua, Judges, Ruth, and Kings).	Latin															
University College MS. 12				Latin	codex	vellum	16th-century panelled brown leather tooled with emperors’ heads-in-medallion (lacking clasps)	"Good historiated and other initials. Related in style to Bodl. MS. Liturg. 396." (IMOCL)	s. XIIIex.	1275	1300	Netherlands or Flanders		Given to the College by Thomas Walker, Master (d. 1665)	4	Cat. No. 804.			
			Psalter																
			Cantica sacra Mosis																
			Symbolum Athanasianum, Litaniæ, et collectæ																
University College MS. 13			Professio fidei.	Latin	codex	paper	Limp vellum (stained)		s. XVIex.	1550	1600	England	London (possibly)	 Recusant manuscript. "ex dono Roberti Plot, LL. Doctoris et hujus collegii commensalis." (Coxe)	4				
University College MS. 14					codex	vellum	Contemporary white tawed leather (lacking clasps and catches)		s. XV	1400	1500	England		Once belonged to John Juel (1522-71), bishop of Salisbury. Given to University College Oxford by Thomas Walker, Master (d. 1665).	4		p. 102		
		Hilton, Walter, -1396	The cloud of Unknowing, or of Contemplation	Middle English (South central Norfolk dialect)															
		Peter, of Blois, approximately 1135-approximately 1212	Regula aurea	Latin															
		Catherine, of Sienna	Doctrine	Middle English															
University College MS. 15		Johannis Lugdunensi (or of Leyden)	Sermones Dominicales Festivalesque	Latin	codex	vellum	Contemporary white leather over wooden boards (spine tabs cut off, lacking clasps and catches)		s. XIIIin.	1200	1240	England		"olim ecclesiæ S. Mariæ de Holm-Cultram ex dono Ludovici monachi." (Coxe) Christopher Hudson, s. XVI (f. 181v).	5				
University College MS. 16					codex	vellum	Contemporary reversed red leather over wooden boards (lacking clasps and catches) with front endleaves from an English choirbook and rear endleaves with polyphonic music		s. XV	1400	1500	England		Incorporated into the college library in 1684; John Courteney mentioned in liminary text. (DIAMM) According to Coxe this manuscript belonged to Thomas Dackombe. This was probably Thomas Dackombe (1496-c.1572), petty canon of Winchester Cathedral.	5			Black full mensural notation with black full black void and red black full coloration except one motet in black void mensural notation. (DIAMM) College bookplate of 1650? on inside of upper board; College bookplate of 1700? on f. 3v. Contents listed on f. 149r.	
			Epistola beati Eusebii	Latin															
			Soliloquia sive meditationes sancti Augustini	Latin															
			Alloquia beati Augustini	Latin															
			Devota meitatio sive oratio ad proprium angelum	Latin															
		Anselm, Saint	Ad Sanctum Johannem Baptistam	Latin															
			Ad S. Johannem evangelistam	Latin															
			Alia oratio ad eundem Sanctum Johannem	Latin															
University College MS. 18					codex	vellum	English 15th-century panelled ‘cuir ciselé’ over wooden boards, border ruled and stamped in  blind (rebacked, lacking clasps and catches)		ss. XIV, XV	1300	1500	England		Belonged to Thomas Stokys, armiger, and given to University College by Thomas Staunton. (Coxe)	6				
		Peter, of Blois, approximately 1135-approximately 1212	Duodecim utilitates tribulationis	Latin															
		Bonaventure, Saint, Cardinal, approximately 1217-1274 pseudo,	Meditationes vitae Christi	Latin															
University College MS. 19					codex	vellum	16th-century panelled brown leather over wooden boards (lacking clasp)		s. XIV	1300	1400	England	Canterbury, St Augustine's Abbey	 Formerly belonged to an abbot named Thomas; after 1669 it was owned by William Rogers. (Coxe)	6				
			Canones evangelorium secundum novas capitulaciones Bibliae	Latin															
			Ordo omnium gestorum et miraculorum Domini nostri Jhesu Christi	Latin															
		Clement, of Llanthony	Unum ex quatuor	Latin															
University College MS. 20			Bible (Vulgate) with prologue of St Jerome	Latin	codex	vellum	Medieval white tawed leather over bevelled wooden boards (lacking one of two clasps)	Decorated. Flourish initials throughout.	s. XIIIex.	1275	1300	England		"olim Radulphi Fawconere." (Coxe)	6				
University College MS. 21		Raymond, of Peñafort, Saint, 1175?-1275	Summa theologiae	Latin	codex	vellum	Old brown leather over wooden boards		s. XIV	1300	1400	France		"olim liber Simonis de Retlinge, de libraria Sancti Augustini Cantuar., postea Tho. Weaver." (Coxe)	6				
University College MS. 22			Breviary, Use of Salisbury (Sarum), inserted with readings and homilies by Venerable Bede and others	Latin	codex	vellum	Brown leather over wooden boards (rebacked)	Written in an informal English cursive hand.	s. XV	1400	1500	England		"olim Johannis Bristowe." (Coxe) Names mentioned in a note on f. 337v John Roly, George Dawne.	7				
University College MS. 23					codex	vellum	Contemporary blind-stamped goatskin (lacking one of the clasps)	Written in a humanistic bookhand, initials not supplied.	s. XV	1400	1500	Italy	Naples (possibly)	"olim Johannis Lawrens, postea coll. Univ. ex dono Tho. Walker S.T.P., magistri." (Coxe)	7				
		Facio, Bartolomeo, -1547	De vitae felicitate	Latin															
		Facio, Bartolomeo, -1547	Ad Robertum Strozzum epistola	Latin															
University College MS. 24			Summula controversiarum	Latin	codex	vellum	Limp vellum		s. XVI	1500	1600			Collegii Anglici (note in Duke Humphrey's copy of Coxe).	7				
University College MS. 25					codex		16th century blind-stamped calf (rebacked, lacking clasps and catches)								7			College bookplate of 1700? on inside of upper board.	
	1		Hours of the Holy Spirit	Latin		vellum		Flourish initials, border decorations	s. XV	1400	1500	England		Formerly belonged to Elizabeth Yate. (Coxe and note on f. 4r)					
	2		Psalter and Hymnal (Use of Sarum)	Latin		printed on paper		Woodcut of Franciso Birckman on title page	s. XVI	1500	1600	France	Paris	 Printed by Franz Birckman, 1522.					
	3		Lectionary, hymnal, prayers with Litany	Latin		vellum		Initials and border	s. XVI	1500	1600	England	Syon						
University College MS. 26					codex	vellum	Contemporary tawed leather over wooden boards with bevelled edges (worn, lacking clasps and catches)	"manu Johannis Hatfield plerumque exaratus" (Coxe): largely in the hand of John Hatfield. Sacrobosco texts signed by John Hatfield. Planetary and astrological diagrams on ff. 122r, 125v, 126v, 130r, 134v, 139r.	s. XIV or XV	1300	1500	England		In 1669 the manuscript was under the ownership of William Rogers of Lincoln's Inn. (Coxe; inscription on f. 91v) Inscription "Wm. Rogers" (ff. 4r & 149v)	7			College bookplate of 1700? on f. 2v.	
		Sacro Bosco, Joannes de, active 1230	De algorismo sive de arte memorandi tractatulus	Latin															
		Sacro Bosco, Joannes de, active 1230 & Grossteste, Robert, 1175?-1253,	Liber de computo	Latin															
		Sacro Bosco, Joannes de, active 1230	Liber de sphaera	Latin															
		Grossteste, Robert, 1175?-1253	Theorica Planetarum, cum figuris	Latin															
			De vocibus animalium	Latin															
			Tractatus de proportione	Latin															
University College MS. 28					codex	paper	18th-century blind-stamped calf		s. XV	1400	1500	England		"ex dono M. Georgii Plaxton, de S. Hales, com. Staff. 1681." (Coxe) Probably George Plaxton (1647/8-1720), cler., of Sheriffhales, Shropshire 1673-1703, keen antiquary. (PTB) See ODNB.	8		p. 102-5		
		Hilton, Walter, -1396	Scale of perfection	Middle English (West Riding of Yorkshire dialect)															
			Sequence of sermons for holy days																
			Tract on the seven deadly sins																
University College MS. 29					codex	vellum	17th-century brown leather 		s. XV	1400	1500	England		"olim Thomæ Browne." (Coxe) "Given by [John] Bancroft [Master of University College Oxford, 1610-32]" (DHC)	8				
		Anon.	Treatise on sin	Latin															
		Hoveden, John, -1275	Speculum laicorum	Latin 															
			A narration of the miracle of how St Augustine of the Apostle of England raised the dead bodies of two excommunicated persons	Latin 															
			Tract on the virtue of Theology and the Articles of Faith	Latin 															
		Augustine, Saint, Bishop of Hippo, pseudo	Speculum Peccatorum	Latin 															
			Soliloquium animae	Latin 															
			Sermon on 1 Corinthians 7.29	Latin 															
			Debate between the body and the mind	Latin 															
			Excitatio necessaria ad peccatorem	Latin 															
University College MS. 30					codex	vellum	18th-century speckled calf	Flourish initials.	s. XV	1400	1500	England			9			List of contents in hand of Obadiah Walker on upper flyleaf.	
		Anselm, Saint, Archbishop of Canterbury, 1033-1109	Ad Deum Patrem (prayer)	Latin															
		Augustine, Saint, Bishop of Hippo, 345 - 430	Sermo de oratione dominica (serm. 58)	Latin															
			Meditations and Soliloquies	Latin															
		Ambrose, Saint, Bishop of Milan, - 397	Sermons and meditations	Latin															
University College MS. 31		Clerke, Francis, fl. 1594	Praxis in curiis ecclesiasticis Anglicanis	Latin	codex	paper	Contemporary calf gilt	Liquid gold initials and acanthus borders on ff. 1 and 3.	s. XVI	1500	1600	England			9				
University College MS. 33					codex	vellum	Contemporary tawed leather over bevelled boards, mark from chain hasp (lacking chain and clasp)	Flourish initials and manicoli.	s. XV	1400	1500	England		Belonged to Thomas Browne, then to John Bancroft, Master of Univ. and later bishop of Oxford, who gave it to University College in 1632. (Coxe)	10				
			De gestis et transaltionibus sanctorum Regum de Colonia	Latin															
		Anon	"While thou hast Gode and geteste gode" (poem)	Middle English															
University College MS. 36					codex	vellum	Limp vellum	Small flourish initials.	s. XIVex.	1350	1400			"olim Thomæ Browne, postea coll. Univ. ex dono Tho. Walker, S.T.P. magistri." (Coxe)	10				
		Hoveden, John, -1275	Speculum laicorum	Latin															
		Hoveden, John, -1275	Eplicatio decalogi	Latin															
		John, of Wales, active 13th century (attrib.)	Forma praedicandae	Latin															
		Grosseteste, Robert, 1175?-1253	De venenis	Latin															
		Athanasius, Saint, Patriarch of Alexandria, -373, pseudo	Sermo de imagine Salvatoris apud Berytum inventa	Latin															
University College MS. 37			Catena SS. Patrum in psalmos septem pœnitentiales	Latin	codex	vellum	18th-century brown leather	"Fine borders, initials." (IMOCL)	s. XVin.	1400	1450	England			11	Cat. No. 423			
University College MS. 40					codex	vellum	18th-century leather	"Fine border, fine and other initials. Humanistic script by Peter Meghen." (IMOCL) Illuminated by a Flemish artist.	s. XVI	1500	1600	England		"in usum Christophori Urswyke, Henrici VII. Regis Angliæ ellemosinarii, nitide exaratus, et quoad pag. Primam pictus." (Coxe) "Written for Christopher Urswick, dean of Windsor (d. 1522), fol. 102." (IMOCL)	11	Cat. No. 824			
		John Chrysostom, Saint, -407	Homilies on the Gospel of St Matthew	Latin															
		John Chrysostom, Saint, -407	Homily	Latin															
		Augustine, Saint, Bishop of Hippo	Sermon	Latin															
		Luther, Martin, 1483-1546	Two Sermons	Latin															
		Savonarola, Girolamo, 1452-1498	Meditation 'Infelix ego'	Latin															
		Savonarola, Girolamo, 1452-1498	Exposition on the 30th psalm	Latin															
University College MS. 41					codex	vellum	Medieval white tawed leather over stiff vellum.	Astrological diagrams.	s. XIV	1300	1400	England		 "Iste liber pertinet comunitate Fratrum Salopiae" (f. 2v) Formerly belonged to a convent in Shrewsbury.	12			College bookplates of 1650? and 1700? on inside of upper board. Leaves from binding now University College MS. 207 (note on flyleaf). List of contents on f. 2v.	
		Anon	Definitiones sphæræ	Latin															
		Grosseteste, Robert, 1175?-1253	Compotus (lacking opening)	Latin															
		Profatius Judæus, approximately 1236-	Tractatus quadrantis	Latin															
		Sacro Bosco, Joannes de, active 1230	De Algorismo	Latin															
		Sacro Bosco, Joannes de, active 1230	De Sphaera	Latin															
		Thebit, ben Chorat, 836-901 [?]	Liber … de hiis quae indigent expositione antequam legatur Almagestus	Latin															
		Grossteste, Robert, 1175?-1253 (attributed) & Gerard of Cremona	Theorica Planetarum	Latin															
			De compositione Cylindri, cum tabulis altitudinem solis exhibentibus in civitate Oxon. London. et Exon	Latin															
			De compositione quandrantis	Latin															
			Ars et operacio novi quadrantis, edited by Petrus de Sancto Audemaro 	Latin															
			Canones super Almanach Prophatii [Alphonsine table]	Latin															
			Tabula radicum planetarum super meridiem Oxonie cuius longituo ab occidente est 51 gradus [Alphonsine table]	Latin															
University College MS. 42					codex	paper	Contemporary ruled brown leather over bevelled boards	Flourish initials. "haud una manu exaratus." (Coxe)	s. XV	1400	1500	The Netherlands	Zwolle or Gröningen	 "olim domus clericorum de communi vita in Gröningen circa Sanctam Walburgam, postea an. 1639 Johannis Halei, Med. Doct." (Coxe)	12				
		Anon.	Liber de vera vite, Jhesu Christo 	Latin															
		H. de Goriken	Tractatus de Praedestinatione	Latin															
		Giles, of Assisi, -1262	Verba aurea	Latin															
		Henrici Ramsen	Responsiones de indulgentiis ad Johannem ep. Leodiensem	Latin															
		Gerson, Jean, 1363-1429	De pollutione nocturna	Latin															
		Anon.	De vita	Latin															
		Anon.	De vita Christi juxta Evangelistas	Latin															
		Beke, Johannes de	Chronicle (excerpt)	Latin															
University College MS. 44		Aelred, of Rievaulx, Saint, 1110-1167	De vita Davis sive genealogia regum anglorum	Latin		paper	Limp vellum		s. XVI or XVII	1500	1700	England			13				
University College MS. 45					codex	vellum; paper	15th-century reversed tawed leather over bevelled boards. Leaf from Early English Text Society publication (1867) used as flyleaf. 			1100	1500	England			13			List of contents in hand of Obadiah Walker on upper flyleaf. College bookplates of 1650? and 1700? on flyleaf.	
	1	Langland, William, 1330?-1400?	Piers Plowman (independent version)	Middle English					s. XV										
	2	Henry, of Huntingdon, 1084?-1155 	Imago mundi	Latin					s. XII										
	3	Clement, of Llanthony	Libellus	Latin					s. XIV										
		Anon	De quinque septenis in Scriptura	Latin															
		Hildebert, Archbishop of Tours, 1056?-1133 	Carmen de expositione missæ	Latin															
			Versus xxii. de diversis	Latin															
			Expositio brevis metrica orationis Dominicæ	Latin															
		Hildebert, Archbishop  of Tours, 1056-1133	Hymnus	Latin															
			Hexæmeron	Latin															
			Narrationes de fratribus sanctisque ex SS. Bibliis et Vitas Patrum	Latin															
		Rolle, Richard, 1290?-1349 (Richard Hampole)	Commentary on Job and the Psalms	Latin															
University College MS. 52		Constantinus Sacerdotus	Octateuchus	Greek		vellum	Red russia 		s. XII	1100	1200			"olim Thomæ Cayii deinde Johannis Brown, coll. Univ. socii, postea ejusdem coll. ex dono Joh. Bancroft." (Coxe)	15				
University College MS. 53			Theological tracts and letters.	Latin	codex	paper	Contemporary blind-stamped and ruled brown leather over boards		s. XV	1400	1500	France or The Netherlands			15				
University College MS. 54		John Chrysostom, Saint, -407	Homilies on John, transl. Burgundio of Pisa	Latin	codex	vellum	19th-century	"Fine border (mutilated), historiated and other initials. By the same hand as Bodl. MS. Digby 231, Francesco d'Antonio del Cherico. Humanistic script." (IMOCL)	s. XV	1400	1500			"olim Francisci Clethero." (Coxe) "Thomas Clifford, Franc. Clethero, saec. xv (?), fol. 227." (IMOCL)	16	Cat. No. 956			
University College MS. 55					codex	vellum	16th-century ruled brown leather over pasteboard			1200	1300			 "olim Thomæ Browne, postea coll. Univ., ex dono Johannis Bancroft." (Coxe)	16				
	1	Peter Lombard, Bishop of Paris, approximately 1100-1160	Sentences	Latin				Two large flourish initials (one excised)	s. XIII			France							
	2	Henry, of Ghent, 1217?-1293	Quodlibeta	Latin					s. XIII			England							
			Arbor consanguinitatis	Latin															
University College MS. 56						vellum	16th-century leather panelled in blind, diapers with pineapple tool (rebacked, preserving original spine)	Flourish initials and borders in red, blue, and purple. "Fine penwork borders, initials." (IMOCL)	s. XVin.	1400	1450	England		"olim cujusdam e familia de Hamptone, postea coll. Univ. e dono Samuelis Clerke, coll. Univ. commensalis, A.D. 1641." (Coxe) "Calendar of Christ Church, Canterbury, with obits of the Hampton family, 1413-22, fols. 1—5v. Given by Samuel Clarke, commoner 1641, fols. 1, 264v." (IMOCL)	16	Cat. No. 395	p. 105		
			Kalendarium (Christ Church Canterbury)	Latin															
		Rolle, Richard, 1290?-1349	Commentary on the Psalms	Middle English															
		Rolle, Richard, 1290?-1349	Commentary on Cantica Sacra	Middle English															
			Te deum laudamus and Athanasian Creed	Latin															
University College MS. 57		Guilelmus Peraldus, approximately 1190-1271	Sermones Dominicales (Gospels)	Latin	codex	paper	Old leather over wooden boards (rebacked)		s. XV	1400	1500			“Companion volume to University College MS. 75 so probably presented by Master William Asplyon.” (Note in Duke Humphrey's copy of Coxe)	17				
University College MS. 58			Gospels, glossed	Latin		vellum	Medieval brown leather over bevelled wooden boards, possibly original	Flourish initials	s. XII or XIIIin.	1100	1250	France		"ex dono Gul. Green, armigeri nuper hujus collegii commensalis superioris ordinis 1683." (Coxe)	17				
University College MS. 59		Anselm, Saint, Archbishop of Canterbury, 1033-1109	Opera varia	Latin	codex	vellum	17th-century calf		s. XIII	1200	1300	France		 Early side notes in English hand. "olim Thomæ Browne, postea coll. Uinv. Ex dono Johannis Bancroft." (Coxe)	17				
University College MS. 60						vellum	Contemporary white leather over bevelled boards	Written by Hugh Hall	s. XV	1400	1500	England		"olim Thomæ, et Johannis Browne, deinde F. Drake, et denuo coll. Univ. ex dono Tho. Walker. Magistri." (Coxe)	17				
		Haqueville, Nicolaus de	Sermones dominicales	Latin															
		Grossteste, Robert, 1175?-1253	Liber de venenis	Latin															
		Bonaventure, Saint, Cardinal, approximately 1217-1274	Works	Latin															
		Lydgate, John, 1370?-1451?	Verses	Latin															
University College MS. 61					codex	vellum	Contemporary brown leather over boards.	Initial and border		1200	1400	England		"Iste liber pertinet communitate Fratrum Solopiæ." (fol. 2v) "olim Thomæ Browne, postea coll. Univ. ex dono Tho. Walker, magistri." (Coxe) "Richard Gosmore, fellow of Magdalen College (d. 1547); Thomas Broune, Christ Church scholar, vicar of Kingsclere (d. 1587), fol. Iv. Given by Thomas Walker, master (d. 1665), fol. 2." (IMOCL)	18	Cat. No. 304			
	1	Valerius 	Ad Ruffinam	Latin					s. XIVin.										
	2	Gregory, I, Pope, approximately 540-604	Sermon on Ezekiel	Latin					s. XIII										
	3		Meditation of St Bernard 	Latin					s. XIV										
		St Jerome	Lives of the Desert Fathers	Latin															
		Augustine, Saint, Bishop of Hippo	Edicta de animæ egressione a corpore	Latin															
			Vita Fursei, ed. by Bede	Latin															
University College MS. 63 (also University College MS. 62)					codex	vellum	Early 16th-century blind-stamped leather over boards. "saec. xvi in., possibly A . Lysley, Eton." (IMOCL)	Border, flourish initials		1200	1500	England and France		 "ex dono Mariæ Elmhurst, in gratiam unici sui nati Hereberti Elmhurst, collegii scholaris, et in collegio mortui." (Coxe) "Humphrey Gilbert, c. 1551, fol. 64v and on lower cover. Given by Maria Elmhurst in memory of Herbert Elmhurst, scholar (d. 1670), first pastedown." (IMOCL) Eton (Ker and Watson)	19	Cat. No. 409			
	1	Grossteste, Robert, 1175?-1253	De lingua et corde	Latin					s. XIII										
		Gilbert, of Hoyland	Commentary on St Paul's Epistles	Latin															
	2		Postilla super librum Danielis	Latin					s. XV										
University College MS. 64					codex	paper	12th-century white leather over square-cut boards (rebacked), head spine tab (lacking strap and pin)		s. XV	1400	1500	England		"olim Tho. Walker, magistri." (Coxe)	19		pp. 107-8		
		Rolle, Richard, 1290?-1349	Commentary on the Psalms	Middle English (Yorkshire dialect)															
		Rolle, Richard, 1290?-1349	Commentary on the Canticles	Middle English (Yorkshire dialect)															
University College MS. 65			Exhortationes canctorum patrum	Latin		vellum	19th-century half morocco	Initials in green and red, four large and patterned	s. XII	1100	1200			"olim W. Rogers de Paynswick." (Coxe)	19				
University College MS. 66		Gregory, I, Pope, approximately 540-604	Moralia in Job (from Book XXI, lacking end)	Latin	codex	vellum	Later medieval brown leather over wooden boards (worn and rebacked)	Initials in green, red, and blue	s. XII	1100	1200	England		"ex dono Thomæ Walker, magistri." (Coxe)	20				
University College MS. 67					codex	vellum	Contemporary white leather over bevelled wooden boards with strap (lacking pin)		s. XIVex.	1350	1400	England		"olim libri de communitate fratrum Prædicatorum conventus Beverlaci; postea 'liber Thorgott, dono Nicolai Mell." (Coxe)	20			Preachers' aid from the Dominican convent at Beverley.	
			Alphabetum narrationum	Latin															
			In vitis patrum	Latin															
University College MS. 68		Aquinas, Thomas, Saint, 1225-1274	Summa contra gentiles	Latin	codex	vellum	15th-century ruled calf over bevelled wooden boards (rebacked, lacking clasps). "Binding identical with Bodley MS 214." (DHC)	Flourish initials	s. XIII	1200	1300	England	Canterbury	"olim, ut videtur, Roberti de Wynchelsey, archiepiscopi Cantuarensis; postea H. Sutton." (Coxe)	20				
University College MS. 69		Roger, monk of Croyland	Life of Thomas Beckett	Latin		vellum	19th-century pigskin		s. XIII	1200	1300	England		"olim liber ecclesiæ ….. Wintoniæ, postea Johannis Theyer, de Copwers Hill juxta Gloucest." (Coxe) Given by W. Rogers (DHC)					
University College MS. 70		Johannes, Felton, -1434	Sermones dominicales	Latin		paper	Contemporary tawed skin over wooden boards (window fragment and nails on lower board)	Flourish initials	s. XV	1400	1500	England		From the medieval library in University College Oxford (DHC)	20				
University College MS. 71			Septuplum		codex	vellum	Trimmed chemise binding, tawed leather. "Contemporary binding of white leather on boards." (IMOCL)	"Good initials. Penwork initials, cadels." (IMOCL)	s. XVin.	1400	1450	England		"olim liber Magistri Hawkyns, ex dono Roberti Page, postea coll. Univ. ex dono Willelmi Hawkyns." (Coxe) "Given by William Hawkyns, fellow, 1527, fol. 14v." (IMOCL)	21	Cat. No. 479			
University College MS. 72			Britton (Operis juridicalis)	French	codex	vellum	19th-century pigskin	Initials with leaves	s. XIIIex. or XIV	1270	1450	England			21				
University College MS. 74		Rolle, Richard, 1290?-1349	Commentary on the Psalms	Middle English	codex	vellum	Contemporary leather over wooden boards		s. XV	1400	1500	England		Given by Thomas Walker (DHC)	22		p. 108		
University College MS. 75		Guilelmus Peraldus, approximately 1190-1271	Sermones Dominicales (Epistles)	Latin		paper	Contemporary white tawed skin over wooden boards	small flourish initials.	s. XV	1400	1500	England		“fol 44r John Dowetyng.  Ex dono Magr Willi As[plyon] (label on back cover)” (DHC) See University College MS. 57 (companion volume)	22				
University College MS. 76			Repertorium de re theologica philosophicaque	Latin		paper	Contemporary white leather over wooden boards		s. XV	1400	1500	England		"olim Johannis Castell." (Coxe). Commonplace book of John Castell, Master of Univ., 1410-20.	22				
University College MS. 77				Latin	codex	vellum	White leather over square ended wooden boards		s. XIII	1200	1300	England		 "de communitate fratrum minorum Salopie [Shrewsbury, Franciscans]." (f. 2r) "olim liber de communitate fratrum minorum Salopiæ, postea ex librario monasterii de Hangmod [Haughmond] sumptus et Ricardo Fowler præsentatus a Johanne Shelrock, rectore de Smethcott, 4 Aug. 1606." (Coxe)  Label of gift to college, 1606, behind horn window on spine.	22				
			Gospel of Matthew, glossed																
			Treatise on the Mass																
			Gospel of Luke, glossed																
