WORK ID	SUBJECT 1	SUBJECT 2	SUBJECT 3	SUBJECT 4	SUBJECT 5	SUBJECT 6	SUBJECT 7	SUBJECT 8	SUBJECT 9
work_5959	#subject_monasticism_and_religious_orders								
work_292	#subject_monasticism_and_religious_orders								
work_263	#subject_monasticism_and_religious_orders								
work_264	#subject_monasticism_and_religious_orders								
work_265	#subject_sermons								
work_266	#subject_theology								
work_293	#subject_hagiography								
work_268	#subject_theology	#subject_philosophy							
work_273	#subject_classical_literature	#subject_rhetoric							
work_274	#subject_classical_literature	#subject_rhetoric							
work_275	#subject_classical_literature								
work_276	#subject_classical_literature								
work_277	#subject_classical_literature								
work_5206	#subject_classical_literature								
work_279	#subject_classical_literature								
work_278	#subject_classical_literature								
work_5200	#subject_classical_literature								
work_280	#subject_classical_literature								
work_5204	#subject_classical_literature								
work_10114	#subject_grammar								
work_16269	#subject_grammar								
work_281	#subject_monasticism_and_religious_orders								
work_174	#subject_natural_history								
work_282	#subject_medicine								
work_10116	#subject_documents								
work_3134	#subject_law								
work_4699	#subject_christian_literature								
work_4700	#subject_rhetoric								
work_283	#subject_politics_and_government								
work_284	#subject_geography								
work_287	#subject_monasticism_and_religious_orders								
work_10117	#subject_documents								
work_10118	#subject_documents								
work_10119	#subject_documents								
work_10120	#subject_documents								
work_4471	#subject_literature								
work_10121	#subject_history								
work_288	#subject_grammar								
work_3184	#subject_theology								
work_3185	#subject_indexes								
work_3608	#subject_theology								
work_3609	#subject_christian_literature								
work_3611	#subject_theology	#subject_politics_and_government							
work_10122	#subject_literature								
work_295	#subject_history								
work_294	#subject_hagiography								
work_6247	#subject_hagiography								
work_10123	#subject_liturgy								
work_10124	#subject_liturgy								
work_305	#subject_sermons								
work_311	#subject_philosophy								
work_312	#subject_philosophy								
work_313	#subject_theology								
work_7434	#subject_theology	#subject_conduct							
work_308	#subject_theology								
work_314	#subject_theology								
work_315	#subject_theology								
work_309	#subject_theology								
work_6281	#subject_literature	#subject_theology							
work_310	#subject_sermons	#subject_rhetoric							
work_306	#subject_literature								
work_307	#subject_hagiography								
work_1085	#subject_science								
work_316	#subject_natural_history								
work_318	#subject_law								
work_326	#subject_history								
work_322	#subject_theology								
work_323	#subject_philosophy								
work_321	#subject_theology								
work_324	#subject_theology								
work_2934	#subject_science								
work_2935	#subject_science								
work_2946	#subject_literature								
work_350	#subject_monasticism_and_religious_orders	#subject_theology							
work_356	#subject_medicine								
work_352	#subject_philosophy								
work_319	#subject_philosophy								
work_7198	#subject_grammar								
work_353	#subject_philosophy								
work_354	#subject_science								
work_349	#subject_bible								
work_355	#subject_bible								
work_3822	#subject_conduct								
work_6156	#subject_bible								
work_3821	#subject_theology								
work_7102	#subject_bible								
work_3823	#subject_theology								
work_3824	#subject_science								
work_3825	#subject_natural_history								
work_3826	#subject_natural_history								
work_327	#subject_philosophy								
work_328	#subject_philosophy								
work_7191	#subject_philosophy								
work_7263	#subject_philosophy								
work_7260	#subject_philosophy								
work_7264	#subject_philosophy								
work_7265	#subject_philosophy								
work_7268	#subject_philosophy								
work_7259	#subject_philosophy								
work_7193	#subject_philosophy								
work_7192	#subject_philosophy								
work_7269	#subject_philosophy								
work_329	#subject_philosophy								
work_7267	#subject_philosophy								
work_7266	#subject_philosophy								
work_7270	#subject_philosophy								
work_7257	#subject_philosophy								
work_330	#subject_philosophy								
work_7262	#subject_philosophy								
work_7256	#subject_philosophy								
work_332	#subject_philosophy								
work_333	#subject_philosophy								
work_334	#subject_philosophy								
work_335	#subject_philosophy								
work_336	#subject_philosophy								
work_337	#subject_philosophy								
work_7261	#subject_philosophy								
work_338	#subject_philosophy								
work_7254	#subject_philosophy								
work_339	#subject_philosophy								
work_340	#subject_philosophy								
work_341	#subject_bible								
work_342	#subject_philosophy								
work_343	#subject_philosophy								
work_344	#subject_philosophy								
work_7255	#subject_philosophy								
work_348	#subject_medicine	#subject_philosophy							
work_345	#subject_science								
work_347	#subject_philosophy								
work_6432	#subject_philosophy								
work_3827	#subject_philosophy								
work_357	#subject_science								
work_317	#subject_christian_literature								
work_359	#subject_medicine								
work_10126	#subject_literature								
work_360	#subject_science								
work_361	#subject_science								
work_362	#subject_science								
work_363	#subject_science								
work_364	#subject_science								
work_365	#subject_science								
work_366	#subject_science								
work_367	#subject_science								
work_372	#subject_science								
work_368	#subject_science								
work_7248	#subject_science								
work_369	#subject_science								
work_370	#subject_science								
work_371	#subject_science								
work_373	#subject_science								
work_3429	#subject_theology								
work_10128	#subject_science								
work_10129	#subject_medicine	#subject_science							
work_10130	#subject_science								
work_10131	#subject_science								
work_10132	#subject_science								
work_10133	#subject_science								
work_10135	#subject_science								
work_10136	#subject_science								
work_10139	#subject_science								
work_10140	#subject_science	#subject_literature							
work_10141	#subject_science								
work_10142	#subject_science								
work_10143	#subject_science								
work_10144	#subject_science								
work_10145	#subject_science								
work_10151	#subject_science								
work_10155	#subject_science								
work_10157	#subject_science								
work_10158	#subject_science								
work_10149	#subject_science								
work_10147	#subject_science								
work_10148	#subject_science								
work_10150	#subject_science								
work_10152	#subject_science								
work_10153	#subject_science								
work_10160	#subject_literature	#subject_science							
work_10161	#subject_literature	#subject_science							
work_10162	#subject_science								
work_10163	#subject_science								
work_10137	#subject_science	#subject_law	#subject_science						
work_10138	#subject_science	#subject_medicine							
work_10154	#subject_science								
work_509	#subject_law								
work_374	#subject_rhetoric								
work_7413	#subject_literature								
work_376	#subject_bible								
work_377	#subject_philosophy								
work_378	#subject_bible								
work_6339	#subject_grammar								
work_379	#subject_conduct								
work_380	#subject_philosophy								
work_381	#subject_conduct								
work_382	#subject_bible								
work_383	#subject_rhetoric								
work_6211	#subject_hagiography								
work_7505	#subject_theology								
work_6151	#subject_liturgy								
work_384	#subject_conduct								
work_386	#subject_conduct								
work_387	#subject_conduct								
work_388	#subject_theology								
work_7508	#subject_grammar								
work_389	#subject_theology								
work_392	#subject_medicine								
work_390	#subject_medicine								
work_391	#subject_theology								
work_10164	#subject_literature								
work_5958	#subject_bible								
work_5627	#subject_conduct								
work_409	#subject_science								
work_410	#subject_grammar								
work_411	#subject_science								
work_396	#subject_theology								
work_6371	#subject_theology								
work_397	#subject_law								
work_398	#subject_law								
work_420	#subject_bible								
work_414	#subject_philosophy								
work_394	#subject_philosophy								
work_412	#subject_philosophy								
work_7247	#subject_philosophy								
work_395	#subject_philosophy								
work_413	#subject_philosophy								
work_6087	#subject_philosophy	#subject_classical_literature							
work_5631	#subject_bible								
work_415	#subject_hagiography								
work_416	#subject_hagiography	#subject_liturgy							
work_6078	#subject_liturgy	#subject_bible							
work_5613	#subject_conduct								
work_417	#subject_grammar								
work_418	#subject_theology								
work_406	#subject_theology								
work_419	#subject_medicine								
work_3615	#subject_law								
work_408	#subject_politics_and_government								
work_7337	#subject_medicine								
work_10165	#subject_literature								
work_421	#subject_law								
work_422	#subject_law								
work_7332	#subject_medicine								
work_443	#subject_documents								
work_444	#subject_science								
work_424	#subject_philosophy								
work_425	#subject_natural_history								
work_426	#subject_natural_history								
work_427	#subject_natural_history								
work_428	#subject_philosophy								
work_429	#subject_history								
work_430	#subject_philosophy								
work_431	#subject_philosophy								
work_432	#subject_philosophy								
work_375	#subject_science								
work_433	#subject_science								
work_434	#subject_natural_history								
work_7351	#subject_science								
work_10166	#subject_theology								
work_10167	#subject_literature								
work_10168	#subject_clergy	#subject_bible	#subject_history						
work_10169	#subject_theology								
work_10170	#subject_theology	#subject_hagiography							
work_10171	#subject_bible								
work_10172	#subject_bible	#subject_theology							
work_10173	#subject_theology								
work_5954	#subject_theology								
work_4349	#subject_philosophy								
work_10174	#subject_literature								
work_10175	#subject_science								
work_442	#subject_science								
work_10176	#subject_grammar								
work_10178	#subject_indexes								
work_17067	#subject_indexes								
work_17065	#subject_indexes								
work_17066	#subject_indexes								
work_10179	#subject_medicine								
work_10181	#subject_grammar								
work_10182	#subject_medicine								
work_445	#subject_sermons								
work_10183	#subject_literature	#subject_literature							
work_10184	#subject_literature								
work_447	#subject_rhetoric								
work_448	#subject_liturgy								
work_449	#subject_liturgy								
work_450	#subject_liturgy								
work_1179	#subject_history	#subject_literature							
work_5153	#subject_classical_literature								
work_3829	#subject_theology								
work_3830	#subject_theology								
work_3831	#subject_theology								
work_5133	#subject_theology								
work_6214	#subject_hagiography								
work_3832	#subject_theology								
work_3833	#subject_theology								
work_6456	#subject_theology								
work_452	#subject_bible								
work_453	#subject_bible								
work_454	#subject_bible								
work_455	#subject_theology								
work_456	#subject_theology								
work_457	#subject_theology								
work_6607	#subject_theology								
work_458	#subject_bible								
work_6609	#subject_bible								
work_459	#subject_liturgy	#subject_theology	#subject_clergy						
work_460	#subject_bible								
work_6608	#subject_theology								
work_462	#subject_theology								
work_463	#subject_theology								
work_6610	#subject_theology								
work_464	#subject_theology								
work_465	#subject_theology								
work_466	#subject_theology								
work_467	#subject_theology								
work_468	#subject_liturgy	#subject_theology	#subject_clergy						
work_469	#subject_theology								
work_470	#subject_theology								
work_472	#subject_theology								
work_473	#subject_theology								
work_475	#subject_theology								
work_482	#subject_theology								
work_476	#subject_theology								
work_477	#subject_bible								
work_478	#subject_bible								
work_480	#subject_theology								
work_484	#subject_theology								
work_485	#subject_theology								
work_487	#subject_bible								
work_1970	#subject_medicine								
work_10185	#subject_literature								
work_6094	#subject_grammar								
work_6095	#subject_grammar								
work_491	#subject_grammar								
work_492	#subject_philosophy								
work_5879	#subject_theology								
work_5703	#subject_theology								
work_494	#subject_hagiography								
work_16016	#subject_bible								
work_5798	#subject_sermons								
work_6174	#subject_history	#subject_theology							
work_6040	#subject_theology								
work_501	#subject_theology								
work_498	#subject_bible								
work_499	#subject_theology								
work_6149	#subject_theology								
work_6082	#subject_science								
work_6238	#subject_science								
work_502	#subject_rhetoric	#subject_classical_literature							
work_10186	#subject_monasticism_and_religious_orders								
work_507	#subject_literature								
work_506	#subject_literature								
work_7190	#subject_philosophy								
work_587	#subject_philosophy								
work_510	#subject_literature								
work_516	#subject_bible								
work_517	#subject_bible								
work_5855	#subject_theology								
work_5801	#subject_sermons								
work_5876	#subject_hagiography								
work_518	#subject_philosophy								
work_6004	#subject_theology								
work_519	#subject_christian_literature								
work_525	#subject_science								
work_10187	#subject_christian_literature								
work_10188	#subject_history								
work_10189	#subject_history								
work_10195	#subject_history								
work_10192	#subject_monasticism_and_religious_orders	#subject_documents	#subject_history						
work_10193	#subject_history								
work_10196	#subject_history								
work_10190	#subject_history								
work_10191	#subject_history								
work_10198	#subject_documents								
work_16369	#subject_politics_and_government								
work_526	#subject_monasticism_and_religious_orders								
work_548	#subject_bible								
work_549	#subject_bible								
work_3834	#subject_theology								
work_3835	#subject_theology								
work_3840	#subject_theology								
work_3841	#subject_theology								
work_3837	#subject_theology								
work_3838	#subject_theology								
work_3839	#subject_theology								
work_527	#subject_theology								
work_528	#subject_theology								
work_529	#subject_theology								
work_530	#subject_theology								
work_531	#subject_theology								
work_542	#subject_theology								
work_5763	#subject_theology								
work_5765	#subject_liturgy	#subject_theology	#subject_clergy						
work_5764	#subject_theology								
work_532	#subject_theology								
work_533	#subject_theology								
work_534	#subject_theology								
work_535	#subject_theology								
work_545	#subject_theology								
work_543	#subject_theology								
work_536	#subject_theology								
work_5748	#subject_theology								
work_546	#subject_theology								
work_547	#subject_theology								
work_537	#subject_theology								
work_544	#subject_theology								
work_538	#subject_theology								
work_5766	#subject_grammar								
work_5769	#subject_theology								
work_540	#subject_theology								
work_541	#subject_theology								
work_550	#subject_sermons								
work_10199	#subject_literature								
work_10200	#subject_liturgy								
work_10202	#subject_literature	#subject_theology							
work_551	#subject_theology	#subject_monasticism_and_religious_orders							
work_10203	#subject_monasticism_and_religious_orders								
work_10204	#subject_documents								
work_16311	#subject_medicine								
work_10205	#subject_medicine								
work_553	#subject_christian_literature								
work_552	#subject_sermons								
work_554	#subject_classical_literature								
work_10206	#subject_liturgy								
work_10216	#subject_liturgy								
work_10207	#subject_liturgy	#subject_music							
work_10211	#subject_liturgy								
work_10209	#subject_liturgy								
work_10210	#subject_liturgy								
work_10212	#subject_liturgy								
work_10213	#subject_liturgy								
work_10214	#subject_liturgy								
work_10215	#subject_liturgy								
work_10219	#subject_liturgy								
work_10220	#subject_liturgy								
work_10221	#subject_liturgy								
work_10222	#subject_history	#subject_documents							
work_588	#subject_geography								
work_559	#subject_theology								
work_560	#subject_theology								
work_561	#subject_theology								
work_562	#subject_theology								
work_563	#subject_liturgy								
work_564	#subject_law								
work_565	#subject_theology	#subject_law							
work_566	#subject_law								
work_567	#subject_theology								
work_568	#subject_theology								
work_558	#subject_law	#subject_theology							
work_569	#subject_law								
work_556	#subject_law								
work_570	#subject_law								
work_571	#subject_law								
work_572	#subject_law								
work_573	#subject_law								
work_574	#subject_theology								
work_5650	#subject_literature								
work_575	#subject_literature								
work_577	#subject_christian_literature								
work_606	#subject_literature								
work_598	#subject_theology								
work_589	#subject_grammar								
work_5652	#subject_literature								
work_5866	#subject_hagiography								
work_608	#subject_philosophy								
work_599	#subject_medicine								
work_609	#subject_classical_literature	#subject_science							
work_610	#subject_classical_literature	#subject_rhetoric							
work_6416	#subject_classical_literature								
work_611	#subject_classical_literature								
work_10241	#subject_literature	#subject_literature							
work_10243	#subject_bible								
work_10246	#subject_bible								
work_10247	#subject_bible								
work_10249	#subject_bible								
work_10248	#subject_bible								
work_10250	#subject_hagiography	#subject_hagiography	#subject_bible						
work_612	#subject_medicine								
work_5688	#subject_sermons								
work_3843	#subject_bible	#subject_christian_literature							
work_3844	#subject_classical_literature								
work_10251	#subject_literature								
work_621	#subject_rhetoric								
work_619	#subject_science								
work_618	#subject_classical_literature								
work_620	#subject_classical_literature	#subject_philosophy							
work_615	#subject_classical_literature								
work_616	#subject_classical_literature								
work_617	#subject_grammar								
work_10253	#subject_monasticism_and_religious_orders	#subject_literature							
work_10254	#subject_literature	#subject_monasticism_and_religious_orders							
work_10255	#subject_monasticism_and_religious_orders	#subject_literature							
work_10256	#subject_literature	#subject_monasticism_and_religious_orders							
work_16296	#subject_theology								
work_6355	#subject_philosophy								
work_6354	#subject_theology								
work_6351	#subject_literature								
work_6357	#subject_literature								
work_6356	#subject_literature								
work_6353	#subject_literature								
work_6352	#subject_liturgy								
work_3186	#subject_literature								
work_10258	#subject_science								
work_623	#subject_history								
work_622	#subject_history								
work_10259	#subject_documents								
work_10261	#subject_documents								
work_10264	#subject_documents								
work_10260	#subject_documents								
work_10262	#subject_documents								
work_10263	#subject_documents								
work_10265	#subject_documents								
work_10266	#subject_documents								
work_10267	#subject_documents								
work_10268	#subject_documents								
work_3845	#subject_science								
work_10269	#subject_documents								
work_3846	#subject_medicine								
work_3847	#subject_medicine								
work_7103	#subject_classical_literature								
work_624	#subject_classical_literature								
work_625	#subject_classical_literature								
work_626	#subject_classical_literature								
work_7377	#subject_philosophy								
work_4129	#subject_philosophy								
work_4130	#subject_liturgy	#subject_theology	#subject_clergy						
work_4131	#subject_theology								
work_4785	#subject_theology								
work_4753	#subject_bible								
work_4754	#subject_theology	#subject_bible							
work_5614	#subject_philosophy								
work_4755	#subject_philosophy								
work_4756	#subject_philosophy								
work_7240	#subject_philosophy								
work_7242	#subject_philosophy								
work_7231	#subject_philosophy								
work_7217	#subject_philosophy								
work_7219	#subject_philosophy								
work_7229	#subject_philosophy								
work_7227	#subject_philosophy								
work_7215	#subject_philosophy								
work_4757	#subject_theology								
work_4758	#subject_philosophy								
work_4759	#subject_theology								
work_4760	#subject_theology								
work_4762	#subject_theology								
work_4763	#subject_theology								
work_4764	#subject_theology								
work_4765	#subject_liturgy	#subject_theology	#subject_clergy						
work_4766	#subject_philosophy								
work_4767	#subject_philosophy								
work_5955	#subject_theology								
work_4768	#subject_theology								
work_7201	#subject_natural_history								
work_4769	#subject_theology								
work_4770	#subject_natural_history								
work_4784	#subject_theology								
work_4771	#subject_theology								
work_5957	#subject_theology								
work_7232	#subject_theology								
work_7070	#subject_theology	#subject_liturgy							
work_4773	#subject_theology	#subject_bible							
work_4774	#subject_philosophy								
work_4775	#subject_theology								
work_4776	#subject_theology								
work_4778	#subject_theology								
work_4779	#subject_theology								
work_4781	#subject_theology								
work_4780	#subject_theology								
work_5803	#subject_indexes								
work_4782	#subject_theology								
work_4783	#subject_theology								
work_10270	#subject_theology								
work_627	#subject_history	#subject_theology							
work_7501	#subject_literature								
work_628	#subject_science								
work_17012	#subject_law								
work_16372	#subject_theology								
work_629	#subject_medicine								
work_630	#subject_science								
work_5635	#subject_hagiography								
work_2614	#subject_medicine								
work_3612	#subject_medicine								
work_2616	#subject_medicine								
work_10271	#subject_literature								
work_393	#subject_geography								
work_1535	#subject_literature								
work_1536	#subject_literature								
work_6180	#subject_science	#subject_classical_literature							
work_633	#subject_music								
work_172	#subject_classical_literature								
work_291	#subject_classical_literature								
work_1	#subject_classical_literature								
work_15	#subject_classical_literature								
work_30	#subject_classical_literature								
work_31	#subject_classical_literature								
work_32	#subject_classical_literature								
work_56	#subject_classical_literature								
work_57	#subject_classical_literature								
work_59	#subject_classical_literature								
work_81	#subject_classical_literature								
work_83	#subject_classical_literature								
work_84	#subject_classical_literature								
work_85	#subject_classical_literature								
work_87	#subject_classical_literature								
work_90	#subject_classical_literature								
work_94	#subject_classical_literature								
work_95	#subject_classical_literature								
work_100	#subject_classical_literature								
work_631	#subject_classical_literature								
work_257	#subject_classical_literature								
work_117	#subject_classical_literature								
work_118	#subject_classical_literature								
work_119	#subject_classical_literature								
work_124	#subject_classical_literature								
work_126	#subject_classical_literature								
work_256	#subject_classical_literature								
work_131	#subject_classical_literature								
work_632	#subject_classical_literature								
work_634	#subject_literature								
work_635	#subject_literature								
work_636	#subject_literature								
work_637	#subject_literature								
work_639	#subject_literature								
work_6314	#subject_philosophy								
work_3849	#subject_philosophy								
work_5673	#subject_philosophy								
work_3850	#subject_philosophy								
work_5626	#subject_philosophy								
work_3851	#subject_philosophy								
work_5625	#subject_philosophy								
work_5671	#subject_philosophy								
work_3853	#subject_philosophy								
work_3854	#subject_philosophy								
work_3855	#subject_philosophy								
work_3856	#subject_philosophy								
work_3857	#subject_philosophy								
work_5735	#subject_politics_and_government								
work_3860	#subject_philosophy								
work_5649	#subject_politics_and_government								
work_3861	#subject_philosophy								
work_3858	#subject_philosophy								
work_3859	#subject_philosophy								
work_3862	#subject_philosophy								
work_3863	#subject_philosophy								
work_12	#subject_philosophy								
work_641	#subject_philosophy								
work_13	#subject_philosophy								
work_642	#subject_philosophy								
work_6427	#subject_philosophy								
work_643	#subject_philosophy								
work_7275	#subject_philosophy								
work_644	#subject_philosophy								
work_646	#subject_philosophy								
work_645	#subject_philosophy								
work_647	#subject_philosophy								
work_648	#subject_philosophy								
work_649	#subject_philosophy								
work_43	#subject_philosophy								
work_650	#subject_philosophy								
work_7236	#subject_philosophy								
work_7292	#subject_philosophy								
work_7230	#subject_philosophy								
work_651	#subject_philosophy								
work_7228	#subject_philosophy								
work_652	#subject_philosophy								
work_653	#subject_philosophy								
work_5932	#subject_philosophy								
work_654	#subject_philosophy								
work_655	#subject_philosophy								
work_6410	#subject_philosophy								
work_656	#subject_philosophy								
work_657	#subject_philosophy								
work_658	#subject_philosophy								
work_659	#subject_philosophy								
work_660	#subject_philosophy								
work_661	#subject_philosophy								
work_5622	#subject_philosophy								
work_5623	#subject_philosophy								
work_5624	#subject_philosophy								
work_662	#subject_philosophy								
work_663	#subject_philosophy								
work_7150	#subject_philosophy								
work_664	#subject_philosophy								
work_665	#subject_philosophy								
work_666	#subject_philosophy								
work_667	#subject_philosophy								
work_7295	#subject_philosophy								
work_668	#subject_philosophy								
work_669	#subject_philosophy								
work_670	#subject_philosophy								
work_671	#subject_philosophy								
work_6444	#subject_philosophy								
work_672	#subject_philosophy								
work_673	#subject_philosophy								
work_5651	#subject_rhetoric								
work_674	#subject_philosophy								
work_640	#subject_philosophy								
work_132	#subject_philosophy								
work_675	#subject_philosophy								
work_139	#subject_philosophy								
work_676	#subject_philosophy								
work_678	#subject_philosophy								
work_679	#subject_philosophy								
work_10273	#subject_science								
work_10274	#subject_science								
work_10275	#subject_science								
work_10276	#subject_science								
work_10277	#subject_science								
work_10278	#subject_science								
work_10279	#subject_heraldry								
work_10280	#subject_heraldry								
work_682	#subject_theology								
work_683	#subject_theology								
work_684	#subject_theology								
work_685	#subject_sermons								
work_686	#subject_theology								
work_6272	#subject_philosophy								
work_3866	#subject_medicine								
work_7394	#subject_medicine								
work_6098	#subject_medicine	#subject_science							
work_3864	#subject_history								
work_3865	#subject_science								
work_7168	#subject_medicine								
work_7169	#subject_medicine								
work_7172	#subject_medicine								
work_7170	#subject_medicine								
work_687	#subject_medicine								
work_689	#subject_medicine								
work_688	#subject_medicine								
work_7171	#subject_medicine	#subject_philosophy							
work_691	#subject_medicine								
work_692	#subject_bible								
work_694	#subject_medicine								
work_693	#subject_medicine								
work_695	#subject_medicine								
work_698	#subject_law								
work_680	#subject_liturgy								
work_6090	#subject_sermons								
work_697	#subject_natural_history								
work_702	#subject_literature								
work_703	#subject_theology								
work_700	#subject_classical_literature								
work_701	#subject_monasticism_and_religious_orders								
work_699	#subject_science								
work_704	#subject_history								
work_705	#subject_philosophy								
work_706	#subject_geography								
work_10281	#subject_medicine								
work_10282	#subject_medicine								
work_10283	#subject_science								
work_10284	#subject_science								
work_16294	#subject_christian_literature	#subject_theology							
work_10285	#subject_christian_literature	#subject_theology							
work_16290	#subject_sermons								
work_708	#subject_theology								
work_10286	#subject_documents								
work_10287	#subject_documents								
work_10288	#subject_literature								
work_10289	#subject_literature								
work_10290	#subject_documents								
work_10291	#subject_documents								
work_10294	#subject_law								
work_10292	#subject_theology								
work_10293	#subject_theology								
work_10295	#subject_heraldry								
work_10296	#subject_documents								
work_10297	#subject_documents								
work_10298	#subject_theology								
work_10299	#subject_theology								
work_10300	#subject_theology								
work_10301	#subject_theology								
work_10302	#subject_theology								
work_7335	#subject_medicine								
work_714	#subject_science								
work_7334	#subject_medicine								
work_3480	#subject_classical_literature								
work_715	#subject_politics_and_government								
