metadata: hand UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,overview: hands,overview: total hands,person: scribe ref,person: hand ID,person: person(s),person: person ID(s),locus: scope,locus: n,locus: locus,locus: from,locus: to,date: date,date: when,date: not before,date: not after,date: certainty,date: calendar,palaeography: script,palaeography: execution,palaeography: medium,palaeography: terms,palaeography: desc,palaeography: char,palaeography: characters,palaeography: ligature,palaeography: abbreviations,palaeography: corrections,palaeography: punctuation,palaeography: nota,palaeography: language
MS_Add_C_14_hand_1,manuscript_104,Add_C,MS_Add_C_14,MS. Add. C. 14,manuscript,,MS_Add_C_14,"Humanistic script (Pächt and Alexander ii. 285, Pl. XXVI)",,,,,,,,,,,,,,,,,humanistica,,,,,,,,,,,,
MS_Add_C_15_hand_1,manuscript_114,Add_C,MS_Add_C_15,MS. Add. C. 15,manuscript,,MS_Add_C_15,"Caroline minuscule by two (?) hands, fols. 1-75v (quires 1-10) and fols. 76r-157v.",2.0,,,,,,,,,,,,,,,,minusculeCaroline,,,,,,,,,,,,
MS_Add_C_25_hand_1,manuscript_133,Add_C,MS_Add_C_25,MS. Add. C. 25,manuscript,,MS_Add_C_25,"Humanistic script. (Pächt and Alexander ii. 516, pl. XLIX)",,,,,,,,,,,,,,,,,humanistica,,,,,,,,,,,,
MS_Add_C_29_hand_1,manuscript_149,Add_C,MS_Add_C_29,MS. Add. C. 29,manuscript,,MS_Add_C_29,Formal cursive bookhand.,,,,,,,,,,,,,,,,,cursiva,formata,,,,,,,,,,,
MS_Add_C_73_hand_1,manuscript_157,Add_C,MS_Add_C_73,MS. Add. C. 73,manuscript,,MS_Add_C_73,Humanistic script.,,,,,,,,,,,,,,,,,humanistica,,,,,,,,,,,,
MS_Add_C_108_hand_1,manuscript_94,Add_C,MS_Add_C_108,MS. Add. C. 108,manuscript,,MS_Add_C_108,Gothic hybrida.,,,,,,,,,,,,,,,,,hybrida,,,,,,,,,,,,
MS_Add_C_109_hand_1,manuscript_10024,Add_C,MS_Add_C_109,MS. Add. C. 109,manuscript,,MS_Add_C_109,Gothic hybrida.,,,,,,,,,,,,,,,,,hybrida,,,,,,,,,,,,
MS_Add_C_110_hand_1,manuscript_10025,Add_C,MS_Add_C_110,MS. Add. C. 110,manuscript,,MS_Add_C_110,Gothic hybrida; the added final text written more formally.,,,,,,,,,,,,,,,,,hybrida,,,,,,,,,,,,
MS_Add_C_135_hand_1,manuscript_99,Add_C,MS_Add_C_135,MS. Add. C. 135,manuscript,,MS_Add_C_135,"One hand, southern textualis, in a dark brown ink.",1.0,,,,,,,,,,,,,,,,textualisSouthern,,,,,,,,,,,,
MS_Add_C_138_hand_1,manuscript_102,Add_C,MS_Add_C_138,MS. Add. C. 138,manuscript,,MS_Add_C_138,"Written in Humanistic script. Annotations in the early hand of Bartolomeo Sanvito of Padua (Pächt and Alexander ii. 412, pl. XL)",,,,Bartolomeo Sanvito of Padua,person_95884244,,,,,,,,,,,,humanistica,,,,,,,,,,,,
MS_Add_C_139_hand_1,manuscript_103,Add_C,MS_Add_C_139,MS. Add. C. 139,manuscript,,MS_Add_C_139,"Humanistic script. (Pächt and Alexander ii. 258, pl. XXIII)",,,,,,,,,,,,,,,,,humanistica,,,,,,,,,,,,
MS_Add_C_149_hand_1,manuscript_113,Add_C,MS_Add_C_149,MS. Add. C. 149,manuscript,,MS_Add_C_149,Humanistic script. (Pächt and Alexander ii. 271),,,,,,,,,,,,,,,,,humanistica,,,,,,,,,,,,
MS_Add_C_249_hand_1,manuscript_132,Add_C,MS_Add_C_249,MS. Add. C. 249,manuscript,,MS_Add_C_249,Humanistic script. (Pächt and Alexander ii. 869),,,,,,,,,,,,,,,,,humanistica,,,,,,,,,,,,
MS_Add_C_264_hand_1,manuscript_138,Add_C,MS_Add_C_264,MS. Add. C. 264,manuscript,,MS_Add_C_264,"Fol. 58: 'Per Paulum Johannis de Mannasseis de Interamna [probably Terni, Umbria] scriptus florentie existentem officialem officialem maiorem magnifice Artis lane florentine Sub annis dominj Millesimo iiijc xxv et xxvj videlicet per annum.' To fol. 121v of the volume is partly in the same hand, undated; the writer's name appears in an initial on fol. 107 and he wrote the final section, fols. 107–18v.",,,,Paulum Johannis de Mannasseis de Interamna,person_933,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_C_283_hand_1,manuscript_146,Add_C,MS_Add_C_283,MS. Add. C. 283,manuscript,,MS_Add_C_283,"Humanistic script in the same hand as MS. Canon. Class. Lat. 61, and possibly British Library, Add. MS. 12012 (which was signed by Alessio Germanico, pupil of Guarino, in 1433); cf. London, British Library, Burn. 187 which was written by Germanico (Pächt and Alexander ii. 383)",,,,Alessio Germanico,person_5122,,,,,,,,,,,,humanistica,,,,,,,,,,,,
MS_Add_C_285_hand_1,manuscript_148,Add_C,MS_Add_C_285,MS. Add. C. 285,manuscript,,MS_Add_C_285,Formal anglicana by one scribe; final s usually kidney-shaped.,1.0,,,,,,,,,,,,,,,,cursivaAntiquior,formata,,,,,,,,,,,
MS_Add_D_46_hand_1,manuscript_174,Add_D,MS_Add_D_46,MS. Add. D. 46,manuscript,,MS_Add_D_46,"Fol. 139: 'Finito libro isto detur gloria christo. anno 1430 .26. Mensis Iunij', and 'Johannes Moguntinus [Mainz] scripsit'. For other manuscripts written by him see Colophons de mss, iii, nos. 10389–90, to which can probably be added BL, MS Harley 2663, fols. 1–103 and certainly the former Chester Beatty Livy (Dec. iii), MS. W. 118 (sold 3 Dec. 1968 lot. 29 and again, Sotheby's, 13 July 1977, lot 56), Blickling Hall, Norfolk, MS 6917, Paris, BnF, lat. 15635. Other MSS. probably by him are Milan, Ambros. H int. 88 and Bologna, Bibl. Comunale A. 68.",,,,Johannes Moguntinus,person_2828,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_D_47_hand_1,manuscript_175,Add_D,MS_Add_D_47,MS. Add. D. 47,manuscript,,MS_Add_D_47,"Large formal rounded Gothic book hand, black ink",,,,,,,,,,,,,,,,,textualisSouthern,formata,,,,,,,,,,,
MS_Add_D_80_hand_1,manuscript_177,Add_D,MS_Add_D_80,MS. Add. D. 80,manuscript,,MS_Add_D_80,Written by two scribes. The first scribe and illuminator (perhaps c. 1200 CE) extend to the end of the Historia Evangelica; the (slightly later) second scribe and illuminator cover the Liber Aetuum (from fol. 48). Both parts were probably written at the same monastery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Arch_Selden_B_24_hand_1,manuscript_8849,Arch_Selden,MS_Arch_Selden_B_24,MS. Arch. Selden. B. 24,manuscript,,MS_Arch_Selden_B_24,"The manuscript was copied by two main scribes, both writing in a secretary book hand (see M.B. Parkes, plate 13.ii, English Cursive Book Hands 1250-1500 (Oxford, 1969; rpt. 1980)). The first scribe wrote fols. 1-209v, stopping halfway down the page at line 1239 of The Kingis Quair, and probably also fol. 229r (see below). The first leaf of the manuscript is a cancel and replaces the original (presumably lost) first page of Troilus and Criseyde. Whether this leaf was written by the same scribe at a later date or a third scribe has been the topic of debate (see R.K. Root, 1914; W.A. Craige, 1940). The identity of this scribe has been suggested by George Neilson (1899) as the Scottish scribe James Graye, although this has been refuted. The first scribe’s hand has been identified in three other Scottish manuscripts: National Library of Scotland, MS acc. 9253; St John’s College, Cambridge, MS G.19 (187); and an unnamed late fifteenth-century Latin and Scots manuscript in the possession of the Right Honourable the Earl of Dalhousie. The second scribe wrote fols. 209v-228v. The identity of this scribe has been linked with ‘V. de F.’ whose name appears in Part VI of Cambridge University Library, MS Kk.1.5, but this is unconfirmed. The hand of fol. 229 closely resembles the first scribe, and potentially once belonged to a now lost quire which was originally bound earlier in the manuscript. The short poems on fols. 231v-230r are in another hand (or hands) to the main scribes.",2.0,,,,,,,,,,,,,,,,secretary,,,,,,,,,,,,
MS_Arch_Selden_B_35_hand_1,manuscript_8860,Arch_Selden,MS_Arch_Selden_B_35,MS. Arch. Selden. B. 35,part,MS. Arch. Selden. B. 35 – Part A,MS_Arch_Selden_B_35-part1,"Scribe 1: fols. 1r-12, 16v-28v, 49r-51v.",,,,,,,,,,,,,,,,,cursivaAntiquior,,,,,,,,,,,,
MS_Arch_Selden_B_35_hand_2,manuscript_8860,Arch_Selden,MS_Arch_Selden_B_35,MS. Arch. Selden. B. 35,part,MS. Arch. Selden. B. 35 – Part A,MS_Arch_Selden_B_35-part1,"Scribe 2: fols. 12r-16r, 29r-40v, 44r-48v",,,,,,,,,,,,,,,,,cursivaAntiquior,,,,,,,,,,,,
MS_Arch_Selden_B_35_hand_3,manuscript_8860,Arch_Selden,MS_Arch_Selden_B_35,MS. Arch. Selden. B. 35,part,MS. Arch. Selden. B. 35 – Part A,MS_Arch_Selden_B_35-part1,Scribe 3: fols. 41r-43v,,,,,,,,,,,,,,,,,cursivaAntiquior,,,,,,,,,,,,
MS_Arch_Selden_B_35_hand_4,manuscript_8860,Arch_Selden,MS_Arch_Selden_B_35,MS. Arch. Selden. B. 35,part,MS. Arch. Selden. B. 35 – Part A,MS_Arch_Selden_B_35-part1,Text on fol. 52r added by a fourth scribe,,,,,,,,,,,,,,,,,cursivaAntiquior,,,,,,,,,,,,
MS_Arch_Selden_B_35_hand_5,manuscript_8860,Arch_Selden,MS_Arch_Selden_B_35,MS. Arch. Selden. B. 35,part,MS. Arch. Selden. B. 35 – Part B,MS_Arch_Selden_B_35-part2,Anglicana by one scribe (perhaps scribe 1 of part A),1.0,,,,,,,,,,,,,,,,cursivaAntiquior,,,,,,,,,,,,
MS_Arch_Selden_B_50_hand_1,manuscript_8873,Arch_Selden,MS_Arch_Selden_B_50,MS. Arch. Selden. B. 50,manuscript,,MS_Arch_Selden_B_50,Humanistic script.,,,,,,,,,,,,,,,,,humanistica,,,,,,,,,,,,
MS_Ash_Rolls_33_hand_1,manuscript_197,Ash_Rolls,MS_Ash_Rolls_33,MS. Ash. Rolls 33,part,,MS_Ash_Rolls_33-part1,"item 1, neat Anglicana",,,,,,major,,,,,,,,,,,cursivaAntiquior,,,,,,,,,,,,
MS_Ash_Rolls_33_hand_2,manuscript_197,Ash_Rolls,MS_Ash_Rolls_33,MS. Ash. Rolls 33,part,,MS_Ash_Rolls_33-part1,"item 2, secretary",,,,,,major,,,,,,,,,,,cursiva,,,,,,,,,,,,
MS_Ash_Rolls_33_hand_3,manuscript_197,Ash_Rolls,MS_Ash_Rolls_33,MS. Ash. Rolls 33,part,,MS_Ash_Rolls_33-part2,Anglicana,,,,,,,,,,,,,,,,,cursivaAntiquior,,,,,,,,,,,,
MS_Ash_Rolls_53_hand_1,manuscript_9969,Ash_Rolls,MS_Ash_Rolls_53,MS. Ash. Rolls 53,manuscript,,MS_Ash_Rolls_53,Said to be copied by Simon Forman,,,,Simon Forman,person_64901269,,,,,,,,,,,,,,,,,,,,,,,,
MS_Ash_Rolls_55_hand_1,manuscript_360,Ashmole,MS_Ash_Rolls_55,MS. Ash. Rolls 55,manuscript,,MS_Ash_Rolls_55,Textualis,,,,,,,,,,,,,,,,,textualis,,,,,,,,,,,,
MS_Ashmole_34_hand_1,manuscript_322,Ashmole,MS_Ashmole_34,MS. Ashmole 34,manuscript,,MS_Ashmole_34,"One hand throughout which writes the text and marginal glosses. Bastard secretary, in a professional and consistent hand. Sarah Peverley identifies the same hand in MS. Douce 345.",1.0,,,,,,,,,,,,,,,,cursiva,,,,,,,,,,,,
MS_Ashmole_35_hand_1,manuscript_331,Ashmole,MS_Ashmole_35,MS. Ashmole 35,manuscript,,MS_Ashmole_35,One scribe; secretary with some anglicana forms.,1.0,,,,,,,,,,,,,,,,cursiva,,,,,,,,,,,,
MS_Ashmole_39_hand_1,manuscript_338,Ashmole,MS_Ashmole_39,MS. Ashmole 39,manuscript,,MS_Ashmole_39,"Anglicana with Secretary influence, in one consistent and competent hand of the late fifteenth century. Typical double-compartment a, long r, looped ascenders on d, l, b, and h, and sigma-shaped s. Late Medieval English Scribes proposes that the scribe can be identified as John Brode, whose hand also appears in Bodleian Library, MS Digby 181, part 1 (copied second half xv) and John Rylands Library, MS English 113 (copied c.1475–1500). However, though the hands are certainly contemporary there are inconsistent graphs between the Ashmole hand and Brode's hand, for instance: the Ashmole tight anglicana g vs Brode's hour-glass secretary g, the Ashmole long r that opens at the baseline vs Brode's long r that is open from the bottom, the Ashmole sigma s with long horizontal extension in final position vs Brode's narrow sigma s, the Ashmole downwards flourish to the of crossbar vs Brode's short crossbar, and the Ashmole single-stroke ampersand vs Brode's ampersand with suspended crossbar. Instead, it is likely that the two scribes are contemporary and trained in a similar milleiu, but are not the same individuals. For the identification of Brode's hand in MS Digby 181 and MS English 113, see Daniel W. Mosser, The Scribe of Chaucer Manuscripts Rylands English 113 and Bodleian Digby 181, Manuscripta, 34 (1990), 129-47; and Simon Horobin, Manuscripts and Scribes, Chaucer: Contemporary Approaches, eds. Susanna Fein and David Raybin (Pennsylvania, 2009), pp. 67-82 (72-6).",1.0,,,John Brode,person_4719,,,,,,,,,,,,cursivaAntiquior,,,,,,,,,,,,
MS_Ashmole_40_hand_1,manuscript_344,Ashmole,MS_Ashmole_40,MS. Ashmole 40,manuscript,,MS_Ashmole_40,"Anglicana Formata, in a professional and bold hand of the late fifteenth century. Typical double-compartment a, looped d, and sigma-shaped s. The tight form g and the angular looped d with a triangular lower lobe suggest a hand of the third quarter of the fifteenth century with Secretary influences.",1.0,,,,,,,,,,,,,,,,cursivaAntiquior,,,,,,,,,,,,
MS_Ashmole_41_hand_1,manuscript_345,Ashmole,MS_Ashmole_41,MS. Ashmole 41,part,MS. Ashmole 41 – Part 1 (fols. 1-133),MS_Ashmole_41-part1,"One hand throughout, in a bold and neat anglicana formata.",1.0,,,,,,,,,,,,,,,,cursivaAntiquior,,,,,,,,,,,,
MS_Ashmole_41_hand_2,manuscript_345,Ashmole,MS_Ashmole_41,MS. Ashmole 41,part,MS. Ashmole 41 – Part 2 (fols. 134-159),MS_Ashmole_41-part2,The first hand is a neat and consistent anglicana formata.,2.0,,,,,minor,,,,,,,,,,,cursivaAntiquior,,,,,,,,,,,,
MS_Ashmole_41_hand_3,manuscript_345,Ashmole,MS_Ashmole_41,MS. Ashmole 41,part,MS. Ashmole 41 – Part 2 (fols. 134-159),MS_Ashmole_41-part2,The second hand is a larger and more cursive anglicana with secretary a.,2.0,,,,,major,,,,,,,,,,,cursivaAntiquior,,,,,,,,,,,,
MS_Ashmole_43_hand_1,manuscript_348,Ashmole,MS_Ashmole_43,MS. Ashmole 43,manuscript,,MS_Ashmole_43,"Written in a small Anglicana hand by one scribe in brown ink. Görlach (p. 74) suggests that the scribe has attempted to reproduce features of a dignified book hand on the basis of an engrossing hand, with upright and square proportions.",,,,,,,,,,,,,,,,,cursivaAntiquior,,,,,,,,,,,,
MS_Ashmole_44_hand_1,manuscript_349,Ashmole,MS_Ashmole_44,MS. Ashmole 44,manuscript,,MS_Ashmole_44,"One scribe throughout, writing in a current Anglicana of the mid-fifteenth century. Passus headings written in a more ornate bastard Anglicana with final secretary s, by the same hand. The text has been corrected with care using a combination of expunction, underlining, over-writing, and marginal notations (see Duggan and Turville-Petre, 1989, p. ix-x).",1.0,,,,,,,,,,,,,,,,cursivaAntiquior,,,,,,,,,,,,
MS_Ashmole_45_hand_1,manuscript_350,Ashmole,MS_Ashmole_45,MS. Ashmole 45,part,MS. Ashmole 45 || Part A || (fols. 1r-41v),MS_Ashmole_45-part1,"Two hands. The Earl of Toulouse is in a neat anglicana of the first half of the sixteenth century. Features are two forms of two-compartment a: a variety with parallel sides and horizontal cross bar with a scooped stroke forming the head (used mid-word), and a variety that resembles an upper case graph with angular body and looped head (used for the indefinite article and word-beginning); looped d with angular lobe and long trailing tag when in final position; two compartment g with diamond-shaped head; two forms of looped h: an angular variety with triangular closed head-loop and long curving tail-stroke, and a rounded variety when following t or g where the head-loop follows on from the cross bar of the previous letter; both long and short zetoid r; and both long and short sigma s at word-end. Several speculations can be made about the nature of the scribe's copying. The strapwork initials are characteristic of legal and government scribes in London in the 1520's and 30's (see Perkins, 2015, p. 1; Meale, 1996, p. 226). The quality of the script and consistency of the hand (despite the lack of ruling) also suggest an individual experienced in copying long-form codices. A significant degree of planning was required for the layout and mise-en-page to ensure that every iteration of Leve we now coincided with the first line of the page. Works by William Fitzwilliam are autograph, in a messy secretary script of the sixteenth century. Features are single compartment a; long diagonal f with trailing descender; both long and short s; and unlooped y with exaggerated right-curling descender. Multiple stints in varying shades of ink can be identified throughout.",1.0,,,,,,,,,,,,,,,,cursivaAntiquior,,,,,,,,,,,,
MS_Ashmole_45_hand_2,manuscript_350,Ashmole,MS_Ashmole_45,MS. Ashmole 45,part,MS. Ashmole 45 || Part B ||,MS_Ashmole_45-part2,"One hand throughout, in a neat and consistent secretary script, with occasional anglicana features. Single-compartment a and short z-shaped r are used. The body of g is closed by a separate horizontal stroke. Both looped and un-looped variety of d, h, and l appear. A more ornate display script is used for headings to the poem and Table of Contents, running titles, the first few words of each stanza from folios 18r, and the first item in each alphabetical part of the Table of Contents.",1.0,,,,,,,,,,,,,,,,cursiva,,,,,,,,,,,,
MS_Ashmole_45_hand_3,manuscript_350,Ashmole,MS_Ashmole_45,MS. Ashmole 45,part,MS. Ashmole 45 || Part C,MS_Ashmole_45-part3,"In one hand throughout, in a legible secretary script of the seventeenth century.",,,,,,,,,,,,,,,,,cursiva,,,,,,,,,,,,
MS_Ashmole_45_hand_4,manuscript_350,Ashmole,MS_Ashmole_45,MS. Ashmole 45,part,MS. Ashmole 45 || Part D,MS_Ashmole_45-part4,"One hand throughout, in a legible secretary script.",,,,,,,,,,,,,,,,,cursiva,,,,,,,,,,,,
