metadata: music UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,overview: music,locus: locus,locus: from,locus: to,dimensions: type,dimensions: height,dimensions: max height,dimensions: min height,dimensions: width,dimensions: max width,dimensions: min width,dimensions: unit,people: name(s),people: ID(s),bibliography: title(s),bibliography: ref(s),bibliography: ref URI(s)
MS_Auct_D_2_7_music_2,manuscript_439,Auct_D,MS_Auct_D_2_7,MS. Auct. D. 2. 7,fragment,MS. Auct. D. 2. 7 - endleaves (fol. 230),MS_Auct_D_2_7-part6,8 long staves with square notation,,,,,,,,,,,,,,,,
MS_Auct_D_2_14_music_1,manuscript_426,Auct_D,MS_Auct_D_2_14,MS. Auct. D. 2. 14,manuscript-with-fragment,"MS. Auct. D. 2. 14 - endleaf, fol. 173",MS_Auct_D_2_14,Neums (11th cent.) added to the Genealogy of Christ by St. Luke (fol. 79),,,,,,,,,,,,,,,,
MS_Auct_D_2_16_music_1,manuscript_428,Auct_D,MS_Auct_D_2_16,MS. Auct. D. 2. 16,manuscript,,MS_Auct_D_2_16,Late (?) 11th cent. neumatic notation of the Exeter (?) type with some Notker letters.,,,,,,,,,,,,,,,,
MS_Auct_D_4_9_music_1,manuscript_479,Auct_D,MS_Auct_D_4_9,MS. Auct. D. 4. 9,manuscript,,MS_Auct_D_4_9,Some musical notation.,,,,,,,,,,,,,,,,
MS_Auct_D_4_18_music_1,manuscript_467,Auct_D,MS_Auct_D_4_18,MS. Auct. D. 4. 18,part,MS. Auct. D. 4. 18 – Part 1,MS_Auct_D_4_18-part1,Notation.,,,,,,,,,,,,,,,,
MS_Auct_D_5_7_music_1,manuscript_498,Auct_D,MS_Auct_D_5_7,MS. Auct. D. 5. 7,manuscript,,MS_Auct_D_5_7,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Auct_F_2_14_music_1,manuscript_610,Auct_F,MS_Auct_F_2_14,MS. Auct. F. 2. 14,manuscript-with-fragment,,MS_Auct_F_2_14,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Auct_F_2_14_music_2,manuscript_610,Auct_F,MS_Auct_F_2_14,MS. Auct. F. 2. 14,fragment,,MS_Auct_F_2_14_endleaf-4,Noted,,,,,,,,,,,,,,,,
MS_Auct_F_3_6_music_1,manuscript_649,Auct_F,MS_Auct_F_3_6,MS. Auct. F. 3. 6,manuscript,,MS_Auct_F_3_6,Neums.,,,,,,,,,,,,,,,,
MS_Auct_F_4_26_music_1,manuscript_668,Auct_F,MS_Auct_F_4_26,MS. Auct. F. 4. 26,fragment,,MS_Auct_F_4_26_flyleaves,Neums (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Auct_T_2_22_music_1,manuscript_773,Auct_T,MS_Auct_T_2_22,MS. Auct. T. 2. 22,manuscript,,MS_Auct_T_2_22,"Neumes above of the first five lines of the hymn ‘O Nazarene, lux Behtlem …’ (fol. 10v), and marginal pen-trial neumes on fol. 126r.",,,,,,,,,,,,,,,,
MS_Auct_T_2_23_music_1,manuscript_774,Auct_T,MS_Auct_T_2_23,MS. Auct. T. 2. 23,manuscript-composite,MS. Auct. T. 2. 23 – Part 1 MS. Auct. T. 2. 23 – Part 2 MS. Auct. T. 2. 23 – Part 3 MS. Auct. T. 2. 23 – Part 4,MS_Auct_T_2_23,Neums (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Auct_T_6_1_music_1,manuscript_852,Auct_T,MS_Auct_T_6_1,MS. Auct. T. 6. 1,manuscript,,MS_Auct_T_6_1,"Late Byzantine notation, written clearly, but with a tendency to very broad strokes of the pen. Apart from the Kekragarion and the series of Eothina, the chant is very melismatic, and on fols 79-82 there are melismata without any accompanying text",,,,,,,,,,,,,,,,
MS_Barlow_1_music_1,manuscript_876,Barlow,MS_Barlow_1,MS. Barlow 1,manuscript,,MS_Barlow_1,Square notation on 12 staves of 4 red lines.,,,,,,,,,,,,,,,,
MS_Barlow_5_music_1,manuscript_914,Barlow,MS_Barlow_5,MS. Barlow 5,manuscript,,MS_Barlow_5,Square notation on 13 (canon 9) staves of 4 red lines,,,,,,,,,,,,,,,,
MS_Barlow_7_music_1,manuscript_919,Barlow,MS_Barlow_7,MS. Barlow 7,manuscript,,MS_Barlow_7,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Barlow_11_music_1,manuscript_877,Barlow,MS_Barlow_11,MS. Barlow 11,manuscript,,MS_Barlow_11,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Barlow_22_music_1,manuscript_884,Barlow,MS_Barlow_22,MS. Barlow 22,part,"MS. Barlow 22, endleaf, fol. i (lifted pastedown)",MS_Barlow_22-folirv,"Ars Nova type notation (see Hughes, 1951; Harrison, 1958, p. 153; Apfel, 1959, vol. I, p. 62; Reaney, 1966; The Digital Image Archive of Medieval Music).",,,,,,,,,,,,,,,,
MS_Barlow_24_music_1,manuscript_886,Barlow,MS_Barlow_24,MS. Barlow 24,manuscript,,MS_Barlow_24,Music (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Barlow_32_music_1,manuscript_895,Barlow,MS_Barlow_32,MS. Barlow 32,manuscript,,MS_Barlow_32,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Barlow_55_music_1,manuscript_917,Barlow,MS_Barlow_55,MS. Barlow 55,fragment,MS. Barlow 55 – fols. 4-5,MS_Barlow_55-part2,Notation.,,,,,,,,,,,,,,,,
MS_Bodl_24_music_1,manuscript_1293,Bodl,MS_Bodl_24,MS. Bodl. 24,manuscript-with-fragment,"MS. Bodl. 24 - endleaves (fols. i, 113)",MS_Bodl_24,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Bodl_38_music_1,manuscript_1409,Bodl,MS_Bodl_38,MS. Bodl. 38,part,MS. Bodl. 38 – Part 2,MS_Bodl_38-part2,French adiastematic non-rhythmical neums,,,,,,,,,,,,,,,,
MS_Bodl_79_music_1,manuscript_1775,Bodl,MS_Bodl_79,MS. Bodl. 79,manuscript-composite,,MS_Bodl_79,"Notation on staves, fol. 56.",,,,,,,,,,,,,,,,
MS_Bodl_82_music_1,manuscript_1808,Bodl,MS_Bodl_82,MS. Bodl. 82,manuscript-with-fragment,,MS_Bodl_82,"Staves of five lines are drawn on fols. 36v-37r, 49v (?) and 73v, that on 73v with a little (polyphonic (?)) notation.",,,,,,,,,,,,,,,,
MS_Bodl_120_music_1,manuscript_1186,Bodl,MS_Bodl_120,MS. Bodl. 120,manuscript,,MS_Bodl_120,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Bodl_126_music_1,manuscript_1190,Bodl,MS_Bodl_126,MS. Bodl. 126,fragment,"MS. Bodl. 126 - endleaves (fols. ii-iii, 60–61)",MS_Bodl_126-endleaves,Neums.,,,,,,,,,,,,,,,,
MS_Bodl_131_music_1,manuscript_1193,Bodl,MS_Bodl_131,MS. Bodl. 131,manuscript-composite,MS. Bodl. 131 - endleaves (fols. i-ii) MS. Bodl. 131 - endleaves (fols. 148–149) MS. Bodl. 131 - endleaf (fol. 150),MS_Bodl_131,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Bodl_131_music_2,manuscript_1193,Bodl,MS_Bodl_131,MS. Bodl. 131,part,MS. Bodl. 131 - endleaves (fols. i-ii),MS_Bodl_131-part1,Musical notation.,,,,,,,,,,,,,,,,
MS_Bodl_195_music_1,manuscript_1252,Bodl,MS_Bodl_195,MS. Bodl. 195,fragment,MS. Bodl. 195 - front pastedown,MS_Bodl_195_pastedown,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Bodl_199_music_1,manuscript_1256,Bodl,MS_Bodl_199,MS. Bodl. 199,manuscript-with-fragment,MS. Bodl. 199 - endleaf (fol. 1),MS_Bodl_199,Notation (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Bodl_199_music_2,manuscript_1256,Bodl,MS_Bodl_199,MS. Bodl. 199,fragment,MS. Bodl. 199 - endleaf (fol. 1),MS_Bodl_199_endleaf,"With musical notes, original and added.",,,,,,,,,,,,,,,,
MS_Bodl_218_music_1,manuscript_1275,Bodl,MS_Bodl_218,MS. Bodl. 218,manuscript,,MS_Bodl_218,"Adiastematic and half diastematic Canterbury neums, fol. 165v",,,,,,,,,,,,,,,,
MS_Bodl_233_music_1,manuscript_1287,Bodl,MS_Bodl_233,MS. Bodl. 233,fragment,MS. Bodl. 233 - endleaves (fols. 108–109),MS_Bodl_233_endleaves,"Square notation on staves of 4 red lines, 1 stave to 2 lines of text.",,,,,,,,,,,,,,,,
MS_Bodl_257_music_1,manuscript_1311,Bodl,MS_Bodl_257,MS. Bodl. 257,fragment,"MS. Bodl. 257 - endleaves (fols. i, 195)",MS_Bodl_257-endleaves,Polyphonic notation.,,,,,,,,,,,,,,,,
MS_Bodl_264_music_1,manuscript_1315,Bodl,MS_Bodl_264,MS. Bodl. 264,part,MS. Bodl. 264 - Part A (fols. 3-208),MS_Bodl_264-part1,"Notation on staves of five lines, fol. 181v, for the rondeau in the Restor du paon.",,,,,,,,,,,,,,Restor du paon,,
MS_Bodl_296_music_1,manuscript_1346,Bodl,MS_Bodl_296,MS. Bodl. 296,fragment,,MS_Bodl_206_folvi,Musical notation.,,,,,,,,,,,,,,,,
MS_Bodl_343_music_1,manuscript_1380,Bodl,MS_Bodl_343,MS. Bodl. 343,manuscript,,MS_Bodl_343,"Music on a four-line stave, fol. x recto, fol. x verso, 64v",,,,,,,,,,,,,,,,
MS_Bodl_346_music_1,manuscript_1383,Bodl,MS_Bodl_346,MS. Bodl. 346,part,,Bodl_346_flyleaves1,Notation on staves (see van Dijk 1957),,,,,,,,,,,,,,,,
MS_Bodl_359_music_1,manuscript_1391,Bodl,MS_Bodl_359,MS. Bodl. 359,fragment,,Bodl_359_flyleaves,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Bodl_384_music_1,manuscript_1414,Bodl,MS_Bodl_384,MS. Bodl. 384,fragment,MS. Bodl. 384 - endleaves (fols. i-iii),MS_Bodl_384-endleaves,Musical notation,,,,,,,,,,,,,,,,
MS_Bodl_398_music_1,manuscript_1429,Bodl,MS_Bodl_398,MS. Bodl. 398,manuscript-composite,MS. Bodl. 398 – fols. 1-113  MS. Bodl. 398 – fols.114-175,MS_Bodl_398,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Bodl_451_music_1,manuscript_1485,Bodl,MS_Bodl_451,MS. Bodl. 451,fragment,,Bodl_451_flyleaves,With space for musical notation,,,,,,,,,,,,,,,,
MS_Bodl_476_music_1,manuscript_1508,Bodl,MS_Bodl_476,MS. Bodl. 476,manuscript-with-fragment,MS. Bodl. 476 - wrapper,MS_Bodl_476,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Bodl_477_music_1,manuscript_1509,Bodl,MS_Bodl_477,MS. Bodl. 477,fragment,MS. Bodl. 477 - endleaves (fol. iii),MS_Bodl_477-endleaves-foliii,Gaps left for notation.,,,,,,,,,,,,,,,,
MS_Bodl_491_music_1,manuscript_1525,Bodl,MS_Bodl_491,MS. Bodl. 491,manuscript,,MS_Bodl_491,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Bodl_535_music_1,manuscript_1558,Bodl,MS_Bodl_535,MS. Bodl. 535,manuscript,,MS_Bodl_535,"'Nicolaus' is written in an early 13th cent. (?) hand on fol. 94v, where there are also some late 11th cent. (and later) neums scribbled.",,,,,,,,,,,,,,,,
MS_Bodl_548_music_1,manuscript_1567,Bodl,MS_Bodl_548,MS. Bodl. 548,part,"MS. Bodl. 548, endleaves (fol. i)",MS_Bodl_548-endleaves1,"Notation, partly polyphonic.",,,,,,,,,,,,,,,,
MS_Bodl_553_music_1,manuscript_1573,Bodl,MS_Bodl_553,MS. Bodl. 553,fragment,"MS. Bodl. 553 – endleaves (fols. i, 43)",MS_Bodl_553-part1,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Bodl_565_music_1,manuscript_1584,Bodl,MS_Bodl_565,MS. Bodl. 565,manuscript,,MS_Bodl_565,Square notation on staves of four lines (fol. 101v).,,,,,,,,,,,,,,,,
MS_Bodl_572_music_1,manuscript_1591,Bodl,MS_Bodl_572,MS. Bodl. 572,part,MS. Bodl. 572 – Part I.B (fols. 2–25),MS_Bodl_572-part1B,Fol. 13v: Anglo-Saxon neums over ‘ite missa est deo gratias’ (see Hartzell).,,,,,,,,,,,,,,,,
MS_Bodl_572_music_2,manuscript_1591,Bodl,MS_Bodl_572,MS. Bodl. 572,part,MS. Bodl. 572 – Part I.D (fols. 41–50),MS_Bodl_572-part1D,"Fols. 47r-49v: German, Anglo-Saxon, and Anglo-Norman neums (see Hartzell, no. 259).",,,,,,,,,,,,,,,,
MS_Bodl_572_music_2,manuscript_1591,Bodl,MS_Bodl_572,MS. Bodl. 572,part,MS. Bodl. 572 – Part I.D (fols. 41–50),MS_Bodl_572-part1D,"Fol. 49v: alphabetical notation (see Hartzell, no. 259).",,,,,,,,,,,,,,,,
MS_Bodl_579_music_1,manuscript_1596,Bodl,MS_Bodl_579,MS. Bodl. 579,part,"MS. Bodl. 579 - 'Leofric A' (fols. 9–16, 60–154, 158–253, 262–3, 266–273, 278–336) ",MS_Bodl_579-part2,English and continental musical notations are added in many places.,,,,,,,,,,,,,,,,
MS_Bodl_579_music_2,manuscript_1596,Bodl,MS_Bodl_579,MS. Bodl. 579,part,"MS. Bodl. 579 - 'Leofric C' (fols. iv-8, 18–37, 155–157, 59, 337–377, and additions in parts A and B: additions made at Exeter in the eleventh century) ",MS_Bodl_579-part3,"Some musical neums are written over the liturgical texts; all in different handwritings, either English or continental.",,,,,,,,,,,,,,,,
MS_Bodl_596_music_1,manuscript_1609,Bodl,MS_Bodl_596,MS. Bodl. 596,part,MS. Bodl. 596 – Part 3 (fols. 175-214),MS_Bodl_596-part3,Neums,,,,,,,,,,,,,,,,
MS_Bodl_637_music_1,manuscript_1641,Bodl,MS_Bodl_637,MS. Bodl. 637,manuscript-with-fragment,"MS. Bodl. 637- endleaves (fols. ii, 193)",MS_Bodl_637,Musical notation.,,,,,,,,,,,,,,,,
MS_Bodl_679_music_1,manuscript_1670,Bodl,MS_Bodl_679,MS. Bodl. 679,manuscript,,MS_Bodl_679,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Bodl_693_music_1,manuscript_1685,Bodl,MS_Bodl_693,MS. Bodl. 693,manuscript-composite,,MS_Bodl_693,Notation on staves (see van Dijk 1957),,,,,,,,,,,,,,,Notation on staves,https://digital.bodleian.ox.ac.uk/objects/2e47443a-a69e-4695-a6e7-0d797600b52f/surfaces/16587384-4cb9-433f-9ba8-79df89256683/
MS_Bodl_696_music_1,manuscript_1688,Bodl,MS_Bodl_696,MS. Bodl. 696,manuscript,,MS_Bodl_696,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Bodl_775_music_1,manuscript_1761,Bodl,MS_Bodl_775,MS. Bodl. 775,manuscript,,MS_Bodl_775,"Adiastematic, non-rhythmical Winchester neums. Later hands changed the neumatic notation either into adiastematic (fol. 159) or diastematic point neums on staves of 3–4 red or dry-point (fol. 133v) lines; some Notker letters, especially in part B.",,,,,,,,,,,,,,,,
MS_Bodl_787_music_1,manuscript_1772,Bodl,MS_Bodl_787,MS. Bodl. 787,fragment,,MS_Bodl_787_endleaves,"Space left for staves and notation, neither been entered.",,,,,,,,,,,,,,,,
MS_Bodl_794_music_1,manuscript_1780,Bodl,MS_Bodl_794,MS. Bodl. 794,manuscript-composite,MS. Bodl. 794 – Part 1 MS. Bodl. 794 – Part 2 MS. Bodl. 794 – Part 3,MS_Bodl_794,Neums (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Bodl_901_music_1,manuscript_1875,Bodl,MS_Bodl_901,MS. Bodl. 901,manuscript,,MS_Bodl_901,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,Notation on staves,https://digital.bodleian.ox.ac.uk/objects/108eff10-25c4-4e0d-980a-7f8d213c14c8/
MS_Bodl_948_music_1,manuscript_1897,Bodl,MS_Bodl_948,MS. Bodl. 948,manuscript,,MS_Bodl_948,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Bodl_971_music_1,manuscript_1911,Bodl,MS_Bodl_971,MS. Bodl. 971,manuscript,,MS_Bodl_971,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
Brasenose_College_MS_57_music_1,manuscript_14123,Brasenose_College,Brasenose_College_MS_57,Brasenose College MS. 57,part,,Brasenose_College_MS_57-part10,Notation.,,,,,,,,,,,,,,,,
Brasenose_College_MS_57_music_2,manuscript_14123,Brasenose_College,Brasenose_College_MS_57,Brasenose College MS. 57,part,,Brasenose_College_MS_57-part17,Musical notation.,,,,,,,,,,,,,,,,
MS_Broxb_894_music_1,manuscript_1978,Broxbourne,MS_Broxb_894,MS. Broxb. 89.4,manuscript,,MS_Broxb_894,Musical notation on staves.,,,,,,,,,,,,,,,,
MS_Buchanan_b_1_music_1,manuscript_9994,Buchanan,MS_Buchanan_b_1,MS. Buchanan b. 1,manuscript,,MS_Buchanan_b_1,Gothic notation on 10 staves of 4 black lines,,,,,,,,,,,,,,,,
MS_Canon_Bibl_Lat_18_music_1,manuscript_2036,Canon_Bibl_Lat,MS_Canon_Bibl_Lat_18,MS. Canon. Bibl. Lat. 18,manuscript,,MS_Canon_Bibl_Lat_18,Heavy square notation on 5 staves.,,,,,,,,,,,,,,,,
MS_Canon_Bibl_Lat_29_music_1,manuscript_2043,Canon_Bibl_Lat,MS_Canon_Bibl_Lat_29,MS. Canon. Bibl. Lat. 29,manuscript,,MS_Canon_Bibl_Lat_29,"Some square notation of staves of 4 red lines added in the margins (fols. 66–7, 84, 87).",,,,,,,,,,,,,,,,
MS_Canon_Bibl_Lat_29_music_1,manuscript_2043,Canon_Bibl_Lat,MS_Canon_Bibl_Lat_29,MS. Canon. Bibl. Lat. 29,manuscript,,MS_Canon_Bibl_Lat_29,"14th cent. addition: Kyrie, Sanctus and Agnus dei with square notation on staves of 4 lines (2 black, 1 yellow, 1 red).",,,,,,,,,,,,,,,,
MS_Canon_Bibl_Lat_30_music_1,manuscript_2045,Canon_Bibl_Lat,MS_Canon_Bibl_Lat_30,MS. Canon. Bibl. Lat. 30,manuscript,,MS_Canon_Bibl_Lat_30,"Neums on staves of three, often invisible, lines.",,,,,,,,,,,,,,,,
MS_Canon_Bibl_Lat_43_music_1,manuscript_2059,Canon_Bibl_Lat,MS_Canon_Bibl_Lat_43,MS. Canon. Bibl. Lat. 43,manuscript,,MS_Canon_Bibl_Lat_43,"Occasional neums above the text; the genealogies of Christ (fol. 5r-v, 94v-95r) with notation.",,,,,,,,,,,,,,,,
MS_Canon_Bibl_Lat_61_music_1,manuscript_2078,Canon_Bibl_Lat,MS_Canon_Bibl_Lat_61,MS. Canon. Bibl. Lat. 61,manuscript,,MS_Canon_Bibl_Lat_61,The Exultet with Beneventan notation on 1 dry-point line.,,,,,,,,,,,,,,,,
MS_Canon_Bibl_Lat_61_music_1,manuscript_2078,Canon_Bibl_Lat,MS_Canon_Bibl_Lat_61,MS. Canon. Bibl. Lat. 61,manuscript,,MS_Canon_Bibl_Lat_61,"In the passion of St. Matthew (fol. 71) the parts are indicated by e, i and x; in the others (fols. 84v, 94, 119) the c, s and + are added.",,,,,,,,,,,,,,,,
MS_Canon_Bibl_Lat_76_music_1,manuscript_2089,Canon_Bibl_Lat,MS_Canon_Bibl_Lat_76,MS. Canon. Bibl. Lat. 76,manuscript,,MS_Canon_Bibl_Lat_76,Neumatic notation added in the margins in 13th-century and later hands (fols. 20b verso–26r),,,,,,,,,,,,,,,,
MS_Canon_Bibl_Lat_87_music_1,manuscript_2101,Canon_Bibl_Lat,MS_Canon_Bibl_Lat_87,MS. Canon. Bibl. Lat. 87,manuscript,,MS_Canon_Bibl_Lat_87,Melodical accents throughout.,,,,,,,,,,,,,,,,
MS_Canon_Class_Lat_112_music_1,manuscript_2123,Canon_Class_Lat,MS_Canon_Class_Lat_112,MS. Canon. Class. Lat. 112,manuscript,,MS_Canon_Class_Lat_112,Fols. 35-6v: 5 lines of script and 5 staves of music.,,,,,,,,,,,,,,,,
MS_Canon_Ital_51_music_1,manuscript_2762,Canon_Ital,MS_Canon_Ital_51,MS. Canon. Ital. 51,part,,MS_Canon_Ital_51-part1,Neumatic notation on staves.,,,,,,,,,,,,,,,,
MS_Canon_Liturg_163_music_1,manuscript_2863,Canon_Liturg,MS_Canon_Liturg_163,MS. Canon. Liturg. 163,manuscript,,MS_Canon_Liturg_163,Some square notation on 9 staves of 3 red lines.,,,,,,,,,,,,,,,,
MS_Canon_Liturg_171_music_1,manuscript_2872,Canon_Liturg,MS_Canon_Liturg_171,MS. Canon. Liturg. 171,manuscript,,MS_Canon_Liturg_171,Music (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Canon_Liturg_190_music_1,manuscript_2882,Canon_Liturg,MS_Canon_Liturg_190,MS. Canon. Liturg. 190,manuscript,,MS_Canon_Liturg_190,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Canon_Liturg_191_music_1,manuscript_2883,Canon_Liturg,MS_Canon_Liturg_191,MS. Canon. Liturg. 191,manuscript,,MS_Canon_Liturg_191,Square notation on staves of four red lines.,,,,,,,,,,,,,,,,
MS_Canon_Liturg_197_music_1,manuscript_2885,Canon_Liturg,MS_Canon_Liturg_197,MS. Canon. Liturg. 197,manuscript,,MS_Canon_Liturg_197,Square notation on 7 staves of 3 or 4 red lines.,,,,,,,,,,,,,,,,
MS_Canon_Liturg_202_music_1,manuscript_2892,Canon_Liturg,MS_Canon_Liturg_202,MS. Canon. Liturg. 202,manuscript,,MS_Canon_Liturg_202,"Adiastematic, non-rhythmical notation of S. Germany",,,,,,,,,,,,,,,,
MS_Canon_Liturg_216_music_1,manuscript_2907,Canon_Liturg,MS_Canon_Liturg_216,MS. Canon. Liturg. 216,manuscript,,MS_Canon_Liturg_216,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Canon_Liturg_272_music_1,manuscript_2960,Canon_Liturg,MS_Canon_Liturg_272,MS. Canon. Liturg. 272,manuscript,,MS_Canon_Liturg_272,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Canon_Liturg_277_music_1,manuscript_2965,Canon_Liturg,MS_Canon_Liturg_277,MS. Canon. Liturg. 277,manuscript,,MS_Canon_Liturg_277,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Canon_Liturg_291_music_1,manuscript_2979,Canon_Liturg,MS_Canon_Liturg_291,MS. Canon. Liturg. 291,manuscript,,MS_Canon_Liturg_291,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Canon_Liturg_292_music_1,manuscript_2980,Canon_Liturg,MS_Canon_Liturg_292,MS. Canon. Liturg. 292,manuscript,,MS_Canon_Liturg_292,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
MS_Canon_Liturg_296_music_1,manuscript_2983,Canon_Liturg,MS_Canon_Liturg_296,MS. Canon. Liturg. 296,manuscript,,MS_Canon_Liturg_296,Notation on staves (see van Dijk 1957).,,,,,,,,,,,,,,,,
