metadata: binding UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: part ID,overview: binding,overview: condition,overview: decoration,date: contemporary,date: when,date: not before,date: not after,date: certainty,date: calendar,dimensions: height,dimensions: height max,dimensions: height min,dimensions: width,dimensions: width max,dimensions: width min,dimensions: depth,dimensions: depth max,dimensions: depth min,dimensions: unit,dimensions: converted
MS_Add_A_20_binding_1,manuscript_40,Add_A,MS_Add_A_20,MS. Add. A. 20,MS_Add_A_20,8.75; 6.75,,,,,,,,,8.75 in,222.0,222.0,6.75 in,171.0,171.0,,,,mm,True
MS_Add_A_23_binding_1,manuscript_44,Add_A,MS_Add_A_23,MS. Add. A. 23,MS_Add_A_23,8.625; 6.625,,,,,,,,,8.625 in,219.0,219.0,6.625 in,168.0,168.0,,,,mm,True
MS_Add_A_25_binding_1,manuscript_45,Add_A,MS_Add_A_25,MS. Add. A. 25,MS_Add_A_25,8.875,,,,,,,,,8.875 in,225.0,225.0,,,,,,,mm,True
MS_Add_A_26_binding_1,manuscript_46,Add_A,MS_Add_A_26,MS. Add. A. 26,MS_Add_A_26,"Contemporary, German. Red leather on boards, with plain ruled lines and five brass bosses on each side. Strap-and-pin fastenings closing on the front board, lost. A later title (?) on the spine (illegible) followed by shelfmark (?), perhaps '173'.",,,True,,,,,,,,,,,,,,,,
MS_Add_A_27_binding_1,manuscript_49,Add_A,MS_Add_A_27,MS. Add. A. 27,MS_Add_A_27,9.5; 6.75,,,,,,,,,9.5 in,241.0,241.0,6.75 in,171.0,171.0,,,,mm,True
MS_Add_A_30_binding_1,manuscript_57,Add_A,MS_Add_A_30,MS. Add. A. 30,MS_Add_A_30,19th century binding.,,,,,1800,1900,,,,,,,,,,,,,
MS_Add_A_42_binding_1,manuscript_65,Add_A,MS_Add_A_42,MS. Add. A. 42,MS_Add_A_42,7.75; 5.125,,,,,,,,,7.75 in,197.0,197.0,5.125 in,130.0,130.0,,,,mm,True
MS_Add_A_46_binding_1,manuscript_67,Add_A,MS_Add_A_46,MS. Add. A. 46,MS_Add_A_46,8.375; 5.75,,,,,,,,,8.375 in,213.0,213.0,5.75 in,146.0,146.0,,,,mm,True
MS_Add_A_50_binding_1,manuscript_69,Add_A,MS_Add_A_50,MS. Add. A. 50,MS_Add_A_50,8.375; 6.375,,,,,,,,,8.375 in,213.0,213.0,6.375 in,162.0,162.0,,,,mm,True
MS_Add_A_61_binding_1,manuscript_71,Add_A,MS_Add_A_61,MS. Add. A. 61,MS_Add_A_61,7.25; 5.375,,,,,,,,,7.25 in,184.0,184.0,5.375 in,137.0,137.0,,,,mm,True
MS_Add_A_62_binding_1,manuscript_72,Add_A,MS_Add_A_62,MS. Add. A. 62,MS_Add_A_62,8.875; 6.5,,,,,,,,,8.875 in,225.0,225.0,6.5 in,165.0,165.0,,,,mm,True
MS_Add_A_92_binding_1,manuscript_76,Add_A,MS_Add_A_92,MS. Add. A. 92,MS_Add_A_92,The gutter margin has holes from earlier stab-stitching. Now apparently sewn on two bands and bound in thin pasteboards covered with comb-marbled paper; the spine with a green paper label inscribed ‘Luthers eigne Hand’. Kept in a dark blue leather slipcase lettered in gilt capitals ‘M. Luther. Autograph.’ on the spine and on one side.,,,,,1700,,,,,,,,,,,,,,
MS_Add_A_105_binding_1,manuscript_4,Add_A,MS_Add_A_105,MS. Add. A. 105,MS_Add_A_105,"White leather on boards, wormeaten and worn, clasps lost, contemporary.",,,True,,,,,,9.5 in,241.0,241.0,6.125 in,156.0,156.0,,,,mm,True
MS_Add_A_106_binding_1,manuscript_5,Add_A,MS_Add_A_106,MS. Add. A. 106,MS_Add_A_106,"Brown leather on boards, ruled with lines, with leather thong, contemporary.",,,True,,,,,,,,,,,,,,,,
MS_Add_A_107_binding_1,manuscript_6,Add_A,MS_Add_A_107,MS. Add. A. 107,MS_Add_A_107,"Faded pink leather on boards, worn, with one leather clasp (out of two) lost, contemporary.",,,True,,,,,,10.375 in,264.0,264.0,7.5 in,191.0,191.0,,,,mm,True
MS_Add_A_108_binding_1,manuscript_7,Add_A,MS_Add_A_108,MS. Add. A. 108,MS_Add_A_108,8.875; 6.25,,,,,,,,,8.875 in,225.0,225.0,6.25 in,159.0,159.0,,,,mm,True
MS_Add_A_109_binding_1,manuscript_8,Add_A,MS_Add_A_109,MS. Add. A. 109,MS_Add_A_109,"Red (?) whittawed leather over boards (s. xv ex?), rebacked.",,,,,1475,1500,unknown,,,,,,,,,,,,
MS_Add_A_113_binding_1,manuscript_10,Add_A,MS_Add_A_113,MS. Add. A. 113,MS_Add_A_113,10.5; 7.5,,,,,,,,,10.5 in,267.0,267.0,7.5 in,191.0,191.0,,,,mm,True
MS_Add_A_117_binding_1,manuscript_11,Add_A,MS_Add_A_117,MS. Add. A. 117,MS_Add_A_117,9.25; 6.25,,,,,,,,,9.25 in,235.0,235.0,6.25 in,159.0,159.0,,,,mm,True
MS_Add_A_118_binding_1,manuscript_12,Add_A,MS_Add_A_118,MS. Add. A. 118,MS_Add_A_118,9; 6.375,,,,,,,,,9 in,229.0,229.0,6.375 in,162.0,162.0,,,,mm,True
MS_Add_A_135_binding_1,manuscript_15,Add_A,MS_Add_A_135,MS. Add. A. 135,MS_Add_A_135,8.5; 6.375,,,,,,,,,8.5 in,216.0,216.0,6.375 in,162.0,162.0,,,,mm,True
MS_Add_A_164_binding_1,manuscript_18,Add_A,MS_Add_A_164,MS. Add. A. 164,MS_Add_A_164,8.875; 6.625,,,,,,,,,8.875 in,225.0,225.0,6.625 in,168.0,168.0,,,,mm,True
MS_Add_A_168_binding_1,manuscript_22,Add_A,MS_Add_A_168,MS. Add. A. 168,MS_Add_A_168,9.25; 6.75,,,,,,,,,9.25 in,235.0,235.0,6.75 in,171.0,171.0,,,,mm,True
MS_Add_A_170_binding_1,manuscript_25,Add_A,MS_Add_A_170,MS. Add. A. 170,MS_Add_A_170,8.25; 5.75,,,,,,,,,8.25 in,210.0,210.0,5.75 in,146.0,146.0,,,,mm,True
MS_Add_A_171_binding_1,manuscript_26,Add_A,MS_Add_A_171,MS. Add. A. 171,MS_Add_A_171,"Brown calf with gold ornament, etc., about 1830-40 (?), with coloured capitals.",,,,1830,1830,1830,,,,,,,,,,,,,
MS_Add_A_172_binding_1,manuscript_27,Add_A,MS_Add_A_172,MS. Add. A. 172,MS_Add_A_172,8.375; 6.5,,,,,,,,,8.375 in,213.0,213.0,6.5 in,165.0,165.0,,,,mm,True
MS_Add_A_174_binding_1,manuscript_29,Add_A,MS_Add_A_174,MS. Add. A. 174,MS_Add_A_174,"Stamped leather on boards, with brass clasp fittings (clasps lost), contemporary Venetian work",,,,,1470,1499,,,10.125 in,257.0,257.0,7.1225 in,181.0,181.0,,,,mm,True
MS_Add_A_188_binding_1,manuscript_34,Add_A,MS_Add_A_188,MS. Add. A. 188,MS_Add_A_188,"17th-century German binding. Sewn on three bands laced into wood (beech?) boards, covered with red leather, the back cover formerly with corner-pieces and a large centre-piece and clasp fittings (all now missing), the front cover with simple blind fillets; the spine with lozenge-shaped gilt ornaments; the edges of the leaves gilt. Extensively repaired.",,,,,1600,1700,,,,,,,,,,,,,
MS_Add_A_189_binding_1,manuscript_35,Add_A,MS_Add_A_189,MS. Add. A. 189,MS_Add_A_189,"Gold-tooled leather, late 16th cent., rebacked.",,,,,1575,1600,,,,,,,,,,,,,
MS_Add_A_197_binding_1,manuscript_37,Add_A,MS_Add_A_197,MS. Add. A. 197,MS_Add_A_197,"Blind-stamped white whittawed leather over boards, 14th cent. (?), rebacked.",,,,,1300,1400,,,,,,,,,,,,,
MS_Add_A_208_binding_1,manuscript_41,Add_A,MS_Add_A_208,MS. Add. A. 208,MS_Add_A_208,9.625; 6.875,,,,,,,,,9.625 in,244.0,244.0,6.875 in,175.0,175.0,,,,mm,True
MS_Add_A_228_binding_1,manuscript_43,Add_A,MS_Add_A_228,MS. Add. A. 228,MS_Add_A_228,9; 6.5,,,,,,,,,9 in,229.0,229.0,6.5 in,165.0,165.0,,,,mm,True
MS_Add_A_263_binding_1,manuscript_47,Add_A,MS_Add_A_263,MS. Add. A. 263,MS_Add_A_263,"Contemporary binding. Sewn on four pairs of twisted parchment bands, laced and pegged separately into horizontal channels in wood (beech?) boards, covered with undecorated tawed(?) skin, overlapping the edges of the leaves; two strap-and-pin clasps (closing from the back to the front board); the front cover inscribed with a shelfmark in bold 15th-century characters ‘Y.22.’; the top of the spine inscribed ‘Legenda S. | Thom ae & S. Aug. S. Ambr.’ (worn; readings uncertain; cf. fols. 49–54).",,,True,,,,,,,,,,,,,,,,
MS_Add_A_268_binding_1,manuscript_48,Add_A,MS_Add_A_268,MS. Add. A. 268,MS_Add_A_268,8.75; 6.625,,,,,,,,,8.75 in,222.0,222.0,6.625 in,168.0,168.0,,,,mm,True
MS_Add_A_279_binding_1,manuscript_50,Add_A,MS_Add_A_279,MS. Add. A. 279,MS_Add_A_279,8.75; 6.125,,,,,,,,,8.75 in,222.0,222.0,6.125 in,156.0,156.0,,,,mm,True
MS_Add_A_280_binding_1,manuscript_51,Add_A,MS_Add_A_280,MS. Add. A. 280,MS_Add_A_280,Late 19th or early 20th century Bodleian binding of blue cloth over pasteboards; the spine with the shelfmark and ‘Speculum amatorum mundi – 1459.’ in gilt capitals.,,,,,1800,1900,,,,,,,,,,,,,
MS_Add_A_282_binding_1,manuscript_52,Add_A,MS_Add_A_282,MS. Add. A. 282,MS_Add_A_282,The old binding has been stripped of its leather and the boards covered with canvas,,,,,,,,,9.75 in,248.0,248.0,7 in,178.0,178.0,,,,mm,True
MS_Add_A_283_binding_1,manuscript_53,Add_A,MS_Add_A_283,MS. Add. A. 283,MS_Add_A_283,"Brown leather on boards, almost plain, injured at the back",,,,,,,,,8.625 in,219.0,219.0,6.375 in,162.0,162.0,,,,mm,True
MS_Add_A_286_binding_1,manuscript_54,Add_A,MS_Add_A_286,MS. Add. A. 286,MS_Add_A_286,"Three-quarter dark blue leather and black cloth over pasteboards; the spine with title in gilt capitals ‘Vita Christi | rubricated by | Hugo de Werna’.; A 17th/18th(?)-century paper label, perhaps removed from the spine of the previous binding and now stuck to the front pastedown, is inscribed ‘Vita Chri | rhythmice | descripta’.; Inscribed ‘The whole of the parchment and paper which composed the binding of this volume is in a blue envelope among the printed fragments [dated:] 1885’; these pieces had been mislaid by the time the SC was published.",,,,,1880,1900,,,,,,,,,,,,,
MS_Add_A_288_binding_1,manuscript_55,Add_A,MS_Add_A_288,MS. Add. A. 288,MS_Add_A_288,"Blind-stamped leather over boards, late 16th century.",,,,,1575,1600,,,,,,,,,,,,,
MS_Add_A_367_binding_1,manuscript_59,Add_A,MS_Add_A_367,MS. Add. A. 367,MS_Add_A_367,8.5; 5.125,,,,,,,,,8.5 in,216.0,216.0,5.125 in,130.0,130.0,,,,mm,True
MS_Add_A_369_binding_1,manuscript_60,Add_A,MS_Add_A_369,MS. Add. A. 369,MS_Add_A_369,9.875; 7.5,,,,,,,,,9.875 in,251.0,251.0,7.5 in,191.0,191.0,,,,mm,True
MS_Add_A_371_binding_1,manuscript_62,Add_A,MS_Add_A_371,MS. Add. A. 371,MS_Add_A_371,"Mottled calf with gold ornament, late 18th century, not English",,,,,,,,,8.5 in,216.0,216.0,6.125 in,156.0,156.0,,,,mm,True
MS_Add_A_373_binding_1,manuscript_63,Add_A,MS_Add_A_373,MS. Add. A. 373,MS_Add_A_373,8.75; 5.375,,,,,,,,,8.75 in,222.0,222.0,5.375 in,137.0,137.0,,,,mm,True
MS_Add_B_17_binding_1,manuscript_84,Add_B,MS_Add_B_17,MS. Add. B. 17,MS_Add_B_17,19th-century binding.,,,,,1800,1900,,,,,,,,,,,,,
MS_Add_B_59_binding_1,manuscript_88,Add_B,MS_Add_B_59,MS. Add. B. 59,MS_Add_B_59,"Stamped leather on boards with metal clasp fittings marked S, but clasp lost, contemporary Italian work, rebacked and mended recent.ly.",,,True,,,,,,,,,,,,,,,,
MS_Add_B_62_binding_1,manuscript_91,Add_B,MS_Add_B_62,MS. Add. B. 62,MS_Add_B_62,"Blind-stamped leather, late 16th century, rebacked.",,,,,1575,1600,,,,,,,,,,,,,
MS_Add_C_14_binding_1,manuscript_104,Add_C,MS_Add_C_14,MS. Add. C. 14,MS_Add_C_14,13.75; 9.75,,,,,,,,,13.75 in,349.0,349.0,9.75 in,248.0,248.0,,,,mm,True
MS_Add_C_15_binding_1,manuscript_114,Add_C,MS_Add_C_15,MS. Add. C. 15,MS_Add_C_15,"Modern binding of blind-tooled calf: probably rebound for the Bodleian, c. 1860. At the Libri sale the manuscript was described as 'in the original oak binding'.",,,,,1800,1900,,,,,,,,,,,,,
MS_Add_C_29_binding_1,manuscript_149,Add_C,MS_Add_C_29,MS. Add. C. 29,MS_Add_C_29,"Quarter leather and marbled pasteboard, 19th century (?)",,,,,1800,1900,,,,,,,,,,,,,
MS_Add_C_108_binding_1,manuscript_94,Add_C,MS_Add_C_108,MS. Add. C. 108,MS_Add_C_108,"Bound in brown cloth, matching MS. Add. C. 109 and MS. Add. C. 110, probably for Bliss by David Nutt, of Winchester (see MS. Add. C. 110); the spine stamped in gilt with the shelfmark and ‘MSS | I–II’. The edges of the leaves speckled red.",,,,,1840,1868,,,,,,,,,,,,,
MS_Add_C_109_binding_1,manuscript_10024,Add_C,MS_Add_C_109,MS. Add. C. 109,MS_Add_C_109,"Bound in brown cloth, matching MSS. Add. C. 108 and 110, probably for Bliss by David Nutt, of Winchester (see MS. Add. C. 110); the spine stamped in gilt with the shelfmark and ‘MSS | III’. The edges of the leaves speckled red.",,,,,1840,1868,,,,,,,,,,,,,
MS_Add_C_110_binding_1,manuscript_10025,Add_C,MS_Add_C_110,MS. Add. C. 110,MS_Add_C_110,"Bound in brown cloth, matching MSS. Add. C. 108 and 109, presumably for Bliss (see Provenance); inscribed ‘bound [by David] Nutt, Winchester’ (front pastedown); the spine stamped in gilt with the shelfmark and ‘MSS’. The edges of the leaves speckled red.",,,,,1840,1868,,,,,,,,,,,,,
MS_Add_C_135_binding_1,manuscript_99,Add_C,MS_Add_C_135,MS. Add. C. 135,MS_Add_C_135,Pink silk ribbon attached to binding.,,,False,,,,,,295 mm,295.0,295.0,215 mm,215.0,215.0,45 mm,45.0,45.0,mm,False
MS_Add_C_136_binding_1,manuscript_100,Add_C,MS_Add_C_136,MS. Add. C. 136,MS_Add_C_136,The original binding of stamped leather on oak boards is stated in the sale catalogue to have been that of Lorenzo de' Medici (d. 1492): but this has gone.,,,,,,,,,12 in,305.0,305.0,8.375 in,213.0,213.0,,,,mm,True
MS_Add_C_137_binding_1,manuscript_101,Add_C,MS_Add_C_137,MS. Add. C. 137,MS_Add_C_137,The 'original oak boards' which are mentioned in the Libri Sale Catalogue have been lost,,,,,,,,,11.75 in,298.0,298.0,8.625 in,219.0,219.0,,,,mm,True
MS_Add_C_138_binding_1,manuscript_102,Add_C,MS_Add_C_138,MS. Add. C. 138,MS_Add_C_138,11.25; 6.875,,,,,,,,,11.25 in,286.0,286.0,6.875 in,175.0,175.0,,,,mm,True
MS_Add_C_143_binding_1,manuscript_108,Add_C,MS_Add_C_143,MS. Add. C. 143,MS_Add_C_143,"Red morocco with gold ornament, English of about A.D. 1800.",,,,1800,1800,1800,,,,,,,,,,,,,
MS_Add_C_150_binding_1,manuscript_115,Add_C,MS_Add_C_150,MS. Add. C. 150,MS_Add_C_150,13.875; 10,,,,,,,,,13.875 in,352.0,352.0,10 in,254.0,254.0,,,,mm,True
MS_Add_C_153_binding_1,manuscript_118,Add_C,MS_Add_C_153,MS. Add. C. 153,MS_Add_C_153,Black velvet on boards.,,,,,,1600,,,,,,,,,,,,,
MS_Add_C_192_binding_1,manuscript_125,Add_C,MS_Add_C_192,MS. Add. C. 192,MS_Add_C_192,"Blind-stamped leather over boards, 15th century.",,,,,1400,1500,,,,,,,,,,,,,
MS_Add_C_263_binding_1,manuscript_137,Add_C,MS_Add_C_263,MS. Add. C. 263,MS_Add_C_263,12.875; 9.375,,,,,,,,,12.875 in,327.0,327.0,9.375 in,238.0,238.0,,,,mm,True
MS_Add_C_280_binding_1,manuscript_145,Add_C,MS_Add_C_280,MS. Add. C. 280,MS_Add_C_280,"Stamped brown leather, English, 17th century.",,,,,1600,1700,,,10.5 in,267.0,267.0,7.5 in,191.0,191.0,,,,mm,True
MS_Add_C_283_binding_1,manuscript_146,Add_C,MS_Add_C_283,MS. Add. C. 283,MS_Add_C_283,"Red russia with gold ornament, worn (18th century English work)",,,,,1700,1800,,,12 in,305.0,305.0,8 in,203.0,203.0,,,,mm,True
MS_Add_C_285_binding_1,manuscript_148,Add_C,MS_Add_C_285,MS. Add. C. 285,MS_Add_C_285,Red morocco with gold ornament (19th century English work),,,,,,,,,10.75 in,273.0,273.0,7.5 in,191.0,191.0,,,,mm,True
MS_Add_D_1_binding_1,manuscript_162,Add_D,MS_Add_D_1,MS. Add. D. 1,MS_Add_D_1,14.375; 10.375,,,,,,,,,14.375 in,365.0,365.0,10.375 in,264.0,264.0,,,,mm,True
MS_Add_D_2_binding_1,manuscript_167,Add_D,MS_Add_D_2,MS. Add. D. 2,MS_Add_D_2,14.875; 10.5,,,,,,,,,14.875 in,378.0,378.0,10.5 in,267.0,267.0,,,,mm,True
MS_Add_D_3_binding_1,manuscript_168,Add_D,MS_Add_D_3,MS. Add. D. 3,MS_Add_D_3,14.75; 10.125,,,,,,,,,14.75 in,375.0,375.0,10.125 in,257.0,257.0,,,,mm,True
MS_Add_D_32_binding_1,manuscript_169,Add_D,MS_Add_D_32,MS. Add. D. 32,MS_Add_D_32,15.875; 10.75,,,,,,,,,15.875 in,403.0,403.0,10.75 in,273.0,273.0,,,,mm,True
MS_Add_D_33_binding_1,manuscript_170,Add_D,MS_Add_D_33,MS. Add. D. 33,MS_Add_D_33,16; 10.5,,,,,,,,,16 in,406.0,406.0,10.5 in,267.0,267.0,,,,mm,True
MS_Add_D_42_binding_1,manuscript_172,Add_D,MS_Add_D_42,MS. Add. D. 42,MS_Add_D_42,10.75; 11.25,,,,,,,,,10.75 in,273.0,273.0,11.25 in,286.0,286.0,,,,mm,True
MS_Add_D_43_binding_1,manuscript_173,Add_D,MS_Add_D_43,MS. Add. D. 43,MS_Add_D_43,18; 12.125,,,,,,,,,18 in,457.0,457.0,12.125 in,308.0,308.0,,,,mm,True
MS_Add_D_47_binding_1,manuscript_175,Add_D,MS_Add_D_47,MS. Add. D. 47,MS_Add_D_47,"Light brown leather over wood boards; one of the standard Canonici styles, Italian, 18th century. Border of double blind fillet lines and floral roll decoration round the outer edge of the upper and lower covers, enclosing two rectangular frames, one inside another, formed by double blind fillet lines and floral roll decoration. The frames have floral decorations in the corners, on the sides and at the centre. The designs are identical with those on the binding of MS. Canon. Liturg. 377. Sewn on five cords; five raised bands on spine framed with gilt fillet lines. Red leather label framed by gilt border with gilt lettering: ‘PSALTERIV. || SEC. CONSV. || CARTHUSIA. || COD. MEM.’. Gilt lettering at the bottom of the spine ‘MS. || BODL. || ADD. || D. || 47’. Paper fly-leaves and pastedowns.",,,,,1700,1800,,,,,,,,,,,,,
MS_Add_D_80_binding_1,manuscript_177,Add_D,MS_Add_D_80,MS. Add. D. 80,MS_Add_D_80,14.75; 11,,,,,,,,,14.75 in,375.0,375.0,11 in,279.0,279.0,,,,mm,True
MS_Add_D_83_binding_1,manuscript_178,Add_D,MS_Add_D_83,MS. Add. D. 83,MS_Add_D_83,Stamped leather with elaborate bands and thong with buckle,,,,,,,,,14.875 in,378.0,378.0,11 in,279.0,279.0,,,,mm,True
MS_Add_D_98_binding_1,manuscript_9986,Add_D,MS_Add_D_98,MS. Add. D. 98,MS_Add_D_98,16.125; 11.625,,,,,,,,,16.125 in,410.0,410.0,11.625 in,295.0,295.0,,,,mm,True
MS_Add_D_113_binding_1,manuscript_166,Add_D,MS_Add_D_113,MS. Add. D. 113,MS_Add_D_113,17; 13.375,,,,,,,,,17 in,432.0,432.0,13.375 in,340.0,340.0,,,,mm,True
MS_Arch_Selden_A_1_binding_1,manuscript_8834,Arch_Selden,MS_Arch_Selden_A_1,MS. Arch. Selden. A. 1,MS_Arch_Selden_A_1,"Plain vellum-covered boards, either London, c. 1655 × 1659, or Oxford, c. 1655 × 1665 (Barker-Benfield, 2000, pp. 99–102).",,,,,1655,1665,,,,,,,,,,,,,
MS_Arch_Selden_A_1_binding_2,manuscript_8834,Arch_Selden,MS_Arch_Selden_A_1,MS. Arch. Selden. A. 1,MS_Arch_Selden_A_1-part1,"The manuscript is likely to have been unbound for some time. The outer pages (fols. 1r, 71v) show some discolouration. Crease marks visible throughout the text-block, especially in the first two sections, also suggest that the manuscript was folded after painting and writing.; The manuscript was bound for André Thevet (see Provenance) between 1553 and 1587; the end-leaves (pastedown, fols. i-ii, 72) of French paper are from this binding, although the binding itself is lost. (Barker-Benfield, 2000, pp. 96–8)",,,,,1553,1587,,,,,,,,,,,,,
MS_Arch_Selden_B_10_binding_1,manuscript_8837,Arch_Selden,MS_Arch_Selden_B_10,MS. Arch. Selden. B. 10,MS_Arch_Selden_B_10,"A silken or velvet cover, adorned with brass bosses and gilt leaves see Gough (as below), but this has disappeared.",,,,,,,,,,,,,,,,,,,
MS_Arch_Selden_B_11_binding_1,manuscript_8838,Arch_Selden,MS_Arch_Selden_B_11,MS. Arch. Selden. B. 11,MS_Arch_Selden_B_11,15; 11.25,,,,,,,,,15 in,381.0,381.0,11.25 in,286.0,286.0,,,,mm,True
MS_Arch_Selden_B_13_binding_1,manuscript_8839,Arch_Selden,MS_Arch_Selden_B_13,MS. Arch. Selden. B. 13,MS_Arch_Selden_B_13,14.625; 10.625,,,,,,,,,14.625 in,371.0,371.0,10.625 in,270.0,270.0,,,,mm,True
MS_Arch_Selden_B_14_binding_1,manuscript_8840,Arch_Selden,MS_Arch_Selden_B_14,MS. Arch. Selden. B. 14,MS_Arch_Selden_B_14,"Stamped brown leather, much worm-eaten, on new boards and re-backed, English 15th cent. work (London ?).",,,,,1400,1500,,,,,,,,,,,,,
MS_Arch_Selden_B_23_binding_1,manuscript_8848,Arch_Selden,MS_Arch_Selden_B_23,MS. Arch. Selden. B. 23,MS_Arch_Selden_B_23,12.375; 9.25,,,,,,,,,12.375 in,314.0,314.0,9.25 in,235.0,235.0,,,,mm,True
MS_Arch_Selden_B_24_binding_1,manuscript_8849,Arch_Selden,MS_Arch_Selden_B_24,MS. Arch. Selden. B. 24,MS_Arch_Selden_B_24,"Prior to its disbinding in 1993, the manuscript was bound in seventeenth-century calfskin which was re-backed in the late nineteenth or early twentieth century. Disbinding revealed that the seventeenth century binding was not a conventional sewn binding, but rather comprised a series of broad horizontal slots which had been cut in the paper and filled with glue in order to attach lengths of cord. This technique was necessary as the quires had been trimmed on all four sides (due to damp damage) and thus were no longer attached at the fold.",,,,,1600,1699,,,,,,,,,,,,,
MS_Arch_Selden_B_24_binding_2,manuscript_8849,Arch_Selden,MS_Arch_Selden_B_24,MS. Arch. Selden. B. 24,MS_Arch_Selden_B_24,"The manuscript is currently preserved as a sequence of detached singletons, each independently encapsulated in Melinex, and ordered following the hypothetical arrangement of the original quires.",,,,1993,1993,1993,,,,,,,,,,,,,
MS_Arch_Selden_B_27_binding_1,manuscript_8852,Arch_Selden,MS_Arch_Selden_B_27,MS. Arch. Selden. B. 27,MS_Arch_Selden_B_27,"Red leather on boards, clasps lost.",,,,,,,,,,,,,,,,,,,
MS_Arch_Selden_B_50_binding_1,manuscript_8873,Arch_Selden,MS_Arch_Selden_B_50,MS. Arch. Selden. B. 50,MS_Arch_Selden_B_50,10.625; 5.125,,,,,,,,,10.625 in,270.0,270.0,5.125 in,130.0,130.0,,,,mm,True
MS_Arch_Selden_B_51_binding_1,manuscript_8874,Arch_Selden,MS_Arch_Selden_B_51,MS. Arch. Selden. B. 51,MS_Arch_Selden_B_51,11.5; 8.125,,,,,,,,,11.5 in,292.0,292.0,8.125 in,206.0,206.0,,,,mm,True
MS_Ash_Rolls_55_binding_1,manuscript_360,Ashmole,MS_Ash_Rolls_55,MS. Ash. Rolls 55,MS_Ash_Rolls_55,Girdle book; no cover.,,,,,1400,1410,,,,,,,,,,,,,
