metadata: addition UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,overview: additions,locus: locus,locus: from,locus: to,people: author name(s),people: author ID(s),people: scribe name(s),people: scribe ID(s),people: signer name(s),people: signer ID(s),people: former owner name(s),people: former owner ID(s),people: other person name(s),people: other person ID(s),bibliography: bibl(s),bibliography: title(s),bibliography: ref(s),bibliography: ref URI(s)
MS_Ashmole_35_addition_2,manuscript_331,Ashmole,MS_Ashmole_35,MS. Ashmole 35,manuscript,,MS_Ashmole_35,"Fol. 183r, unfinished dialogue between M and B, late fifteenth or early sixteenth century: M Whhat chere howe be yow B all mery god thank yow What chere with yow M God gyue yow good deuen yow be welcom to london howe haue you done many a day B all well god thanke yow ye beter yat se yowe in good helthe M",,,,,,,,,,,,,,,,,
MS_Ashmole_35_addition_3,manuscript_331,Ashmole,MS_Ashmole_35,MS. Ashmole 35,manuscript,,MS_Ashmole_35,"Annotation, including running heads, 17th century, perhaps attributable to Ashmole.",,,,,,,,,,,,,,,,,
MS_Ashmole_39_addition_1,manuscript_338,Ashmole,MS_Ashmole_39,MS. Ashmole 39,manuscript,,MS_Ashmole_39,"Several lines of verse are recorded in multiple late fifteenth/early sixteenth century hands on the rear parchment pastedown: The first two lines of a poem by Thomas Wyatt: What shuld I say sithe faith is ded And truth is exiled in whomanhed. This poem is preserved in the Devonshire manuscript, British Library, Add. MS 17492 (fol. 77r) - not the source, and edited in Collected Poems of Sir Thomas Wyatt, eds Kenneth Muir and Patricia Thomson (Liverpool, 1969), number 143. IMEV 3914.5. Two lines: My harte ys yours ye may be sure And so shall it be while lyff shall indure. This is the only witness. IMEV 2245.4. The final stanza (13) of Lydgate's Beware of Doublenesse, O ye women whyche be enclyned be the enflewens off your nature To be as pure as gold refyned In yowr trowth tendure Arme your sselffe in strong armvre lest men assaye yowr sselffe to assure A myghtty scheld off dowbelnesse; IMEV 2602, IMEV 5793. This isolated stanza is also recorded in Naples, Biblioteca Nazionale, Naples XIII.B.29, but variant readings suggest this was not the exemplar for the Ashmole scribe.",,,,,,,,,,,,,,,Collected Poems of Sir Thomas Wyatt; Beware of Doublenesse,"IMEV 2602, IMEV 5793",https://www.dimev.net/record.php?recID=5793
MS_Ashmole_39_addition_2,manuscript_338,Ashmole,MS_Ashmole_39,MS. Ashmole 39,manuscript,,MS_Ashmole_39,Two large decorated letter Ts are drawn on the last blank page folio 109v.,,,,,,,,,,,,,,,,,
MS_Ashmole_39_addition_3,manuscript_338,Ashmole,MS_Ashmole_39,MS. Ashmole 39,manuscript,,MS_Ashmole_39,"A later hand, sixteenth/seventeenth century, has added Latin running titled to some parts of the text, see eg. folio 81r.",,,,,,,,,,,,,,,,,
MS_Ashmole_39_addition_4,manuscript_338,Ashmole,MS_Ashmole_39,MS. Ashmole 39,manuscript,,MS_Ashmole_39,"Indented writing on folio 109v, illegible.",,,,,,,,,,,,,,,,,
MS_Ashmole_39_addition_5,manuscript_338,Ashmole,MS_Ashmole_39,MS. Ashmole 39,manuscript,,MS_Ashmole_39,"Alphabet annotation on folio 58v, in a fifteenth-century hand.",,,,,,,,,,,,,,,,,
MS_Ashmole_39_addition_6,manuscript_338,Ashmole,MS_Ashmole_39,MS. Ashmole 39,manuscript,,MS_Ashmole_39,"Several library shelfmarks: front pastedown 6919 Ash. 39, folios 1r 6919, 107r A.39.",,,,,,,,,,,,,,,,,
MS_Ashmole_40_addition_1,manuscript_344,Ashmole,MS_Ashmole_40,MS. Ashmole 40,manuscript,,MS_Ashmole_40,"Erased marginal drawing of a bow and arrow on fol. 1r. Several marginal additions not recoverable under UV: Fols. 40v, 59v, 60r, and 96v contain unidentified erased drawings in the lower margin. Fol. 62v contains four marginal erased imitations of the illuminated initial at the top of the page. Erased manicule on fol. 92v. Fols. 39v, 40r, and 96v-97r contain illegible erased notes in the outer vertical margins, in a fifteenth/sixteenth-century hand in black ink. Fol. 54v contains two erased inscriptions: one line enclosed in a box in the top margin, and two short lines in the outer margin, both in black ink. Fol. 97v, below the explicit, contains seven (?) erased lines of illegible script in the same hand. This leaf also contains two erased drawings in red ink in the outer vertical margin.",,,,,,,,,,,,,,,,,
MS_Ashmole_41_addition_1,manuscript_345,Ashmole,MS_Ashmole_41,MS. Ashmole 41,part,MS. Ashmole 41 – Part 1 (fols. 1-133),MS_Ashmole_41-part1,"Occasional manicules, for instance on folio 1r. Pen trials and alphabets on parchment flyleaves, and folios 57r, 61r, 130v, and 131r. Later drawings of a flower with three petals (folio 21r), cross (folio 21v), and a heart and tree (folio 23v) in margins.",,,,,,,,,,,,,,,,,
MS_Ashmole_41_addition_2,manuscript_345,Ashmole,MS_Ashmole_41,MS. Ashmole 41,part,MS. Ashmole 41 – Part 2 (fols. 134-159),MS_Ashmole_41-part2,"Marginal drawings on folios 136r, 137r, and illegible annotations throughout in a cursive hand. Erased inscription in the upper margin of folio 138r in a fifteenth century hand, mostly illegible under UV but possibly begins lyng as if to copy the next line below.",,,,,,,,,,,,,,,,,
MS_Ashmole_41_addition_3,manuscript_345,Ashmole,MS_Ashmole_41,MS. Ashmole 41,part,MS. Ashmole 41 – Part 2 (fols. 134-159),MS_Ashmole_41-part2,"The Chastising of God's Children is extensively annotated by one hand, in a late-fifteenth/sixteenth century cursive, who leaves annotations in the margins of most folios. The lower and outer margins of folio 148 are filled with three stanzas of verse, unrelated to the main text and thought to be unique: Syns partyng is the caus of peyn Wherin can be no stedfast staye Suche gr at lengthe may grow agayn To led my hert in a happye waye ; Why I of partyng do complain I shall you tell yf yow wyll here I loued un witout dysdayn Whyche in myn hert I hold so dere That yf I had ben lord or kyng and al thyngs haue at myn desyer own wyll She shold haue ben ladye of everye thyng .",,,,,,,,,,,,,,,The Chastising of God's Children,,
MS_Ashmole_41_addition_4,manuscript_345,Ashmole,MS_Ashmole_41,MS. Ashmole 41,part,MS. Ashmole 41 – Part 2 (fols. 134-159),MS_Ashmole_41-part2,"Several annotations have been erased or covered with ink, for instance on folios 146v, 153r, and 157r. These annotations were added before this part of the manuscript was trimmed as several are cropped.",,,,,,,,,,,,,,,,,
MS_Ashmole_44_addition_1,manuscript_349,Ashmole,MS_Ashmole_44,MS. Ashmole 44,manuscript,,MS_Ashmole_44,The initials R. R. and R. ANON are written in the lower margin of folio 1r - see Provenance.,,,,,,,,,,,,,,,Provenance,,
MS_Ashmole_44_addition_2,manuscript_349,Ashmole,MS_Ashmole_44,MS. Ashmole 44,manuscript,,MS_Ashmole_44,"The summary catalogue number 6925 and the note XXVII Paper Alexandri Eng Poem . imperf. appear on the first paper flyleaf, and the notes Ash 44 and Ms Ashmole 44 on the upper pastedown. These pages are likely original to Ashmole's binding. The shelf mark A.44. is written in the lower margin of folio 95r. These notes were likely added when the manuscript joined the Ashmolean's collection - see Provenance.",,,,,,,,,,,,,,,,,
MS_Ashmole_45_addition_1,manuscript_350,Ashmole,MS_Ashmole_45,MS. Ashmole 45,part,MS. Ashmole 45 || Part A || (fols. 1r-41v),MS_Ashmole_45-part1,The proverb a man with out mercy mercy shall mise is recorded on folio 1r in a sixteenth century hand.,,,,,,,,,,,,,,,,,
MS_Ashmole_45_addition_2,manuscript_350,Ashmole,MS_Ashmole_45,MS. Ashmole 45,part,MS. Ashmole 45 || Part A || (fols. 1r-41v),MS_Ashmole_45-part1,Line numbers have been added to the margins of The Earl of Toulouse in pencil.,,,,,,,,,,,,,,,The Earl of Toulouse,,
MS_Ashmole_45_addition_3,manuscript_350,Ashmole,MS_Ashmole_45,MS. Ashmole 45,part,MS. Ashmole 45 || Part B ||,MS_Ashmole_45-part2,"The Bodleian SC number 6927 has been added to the first folio of this composite part in a later hand, with the roman numeral II added in pencil. A paper tab with the same number was later added to the margin of this folio.",,,,,,,,,,,,,,,,,
MS_Ashmole_45_addition_4,manuscript_350,Ashmole,MS_Ashmole_45,MS. Ashmole 45,part,MS. Ashmole 45 || Part B ||,MS_Ashmole_45-part2,Pen trials on folio 42v.,,,,,,,,,,,,,,,,,
MS_Ashmole_45_addition_5,manuscript_350,Ashmole,MS_Ashmole_45,MS. Ashmole 45,part,MS. Ashmole 45 || Part C,MS_Ashmole_45-part3,The first folio of this composite part is labelled III in the same pencil as prior parts. A later paper tab has been added to the same folio with the Bodleian SC number 6928 and roman numeral IV.,,,,,,,,,,,,,,,,,
MS_Ashmole_45_addition_6,manuscript_350,Ashmole,MS_Ashmole_45,MS. Ashmole 45,part,MS. Ashmole 45 || Part D,MS_Ashmole_45-part4,The first folio of this composite part is labelled IV in the same pencil as prior parts. A later paper tab has been added to the same folio with the Bodleian SC number 6929 and roman numeral V.,,,,,,,,,,,,,,,,,
MS_Ashmole_45_addition_7,manuscript_350,Ashmole,MS_Ashmole_45,MS. Ashmole 45,part,MS. Ashmole 45 || Part D,MS_Ashmole_45-part4,"The coat of arms of John Glanvill has been added to the first leaf of this composite unit in pencil and annotated to show the colours using heraldic tincture. This was likely added by Elias Ashmole, who did extensive research on heraldry throughout his life and owned numerous books on the topic.",,,,,,,,,,,,,,,,,
MS_Ashmole_46_addition_1,manuscript_351,Ashmole,MS_Ashmole_46,MS. Ashmole 46,manuscript,,MS_Ashmole_46,"Folio 72v contains the Latin palindrome Rome tibi subito motibus ibit amor written twice in the upper margin, in a sixteenth-seventeenth century hand.",,,,,,,,,,,,,,,,,
MS_Ashmole_46_addition_2,manuscript_351,Ashmole,MS_Ashmole_46,MS. Ashmole 46,manuscript,,MS_Ashmole_46,"A.46 in lower margin of folio 158r, the Bodleian shelf-mark.",,,,,,,,,,,,,,,,,
MS_Ashmole_46_addition_3,manuscript_351,Ashmole,MS_Ashmole_46,MS. Ashmole 46,manuscript,,MS_Ashmole_46,"On the blank folios at the rear of the manuscript (fols. 161r-163v), there are several inscriptions: The wiche other sortes (161r), A man withe out marsi no marsi shall haue in tyme of ned when he dothe it crave but all his lyive go lick a slaue (?) and Questa altra sorte (162v), The whiche (163r). Folio 163v is now blank but once contained many fifteenth century inscriptions, some of which are legible under UV light: a small drawing of a shield with illegible writing, boke, Clerk, Thomas Hll at the syne of the hartes heyd",,,,,,,,,,,,,,,,,
MS_Ashmole_52_addition_1,manuscript_353,Ashmole,MS_Ashmole_52,MS. Ashmole 52,manuscript,,MS_Ashmole_52,"Remnants of parchment tabs on folios 27 and 33, marking ll. 3862-4007 (likely marking l. 3966 which is the beginning of Part 5) and ll.4762-4915 (containing the fifteen days before Christ's coming). Recorded in Sawyer, 2016, p. 110.",,,,,,,,,,,,,,,,,
MS_Ashmole_52_addition_2,manuscript_353,Ashmole,MS_Ashmole_52,MS. Ashmole 52,manuscript,,MS_Ashmole_52,Fifteenth-century annotations on fol. 23v.,,,,,,,,,,,,,,,,,
MS_Ashmole_52_addition_3,manuscript_353,Ashmole,MS_Ashmole_52,MS. Ashmole 52,manuscript,,MS_Ashmole_52,"Jhus | my S in upper margins of fols 40v-41r, fifteenth century.",,,,,,,,,,,,,,,,,
MS_Ashmole_52_addition_4,manuscript_353,Ashmole,MS_Ashmole_52,MS. Ashmole 52,manuscript,,MS_Ashmole_52,The shelf mark 52 Ash and the Summary Catalogue number 6936 are recorded on folio 1r. The shelf mark A.52 is recorded on fol. 62r.,,,,,,,,,,,,,,,,,
MS_Ashmole_52_addition_5,manuscript_353,Ashmole,MS_Ashmole_52,MS. Ashmole 52,manuscript,,MS_Ashmole_52,A modern hand annotates the start of each part in pencil in the upper margin of the page.,,,,,,,,,,,,,,,,,
MS_Ashmole_59_addition_1,manuscript_356,Ashmole,MS_Ashmole_59,MS. Ashmole 59,part,MS. Ashmole 59 - flyleaves (i-ii),MS_Ashmole_59-flyleaves,"Folio 1v, containing Shirley's ownership inscription, also contains three merchant’s marks in two styles which are not original but likely of the late fifteenth or early sixteenth century. The uppermost mark is smudged and difficult to identify, in a rough reverse 4 shape with a loop to the left and a flourished descender. The lower two marks are better preserved: a reverse 4 shape with a cross to the left and an initial h or b formed from the descender with flourishes. Both marks unidentified, although the style of combining a 4 with a letter is also seen in personal seal designs in late medieval England.",,,,,,,,,,,,,,,,,
MS_Ashmole_59_addition_2,manuscript_356,Ashmole,MS_Ashmole_59,MS. Ashmole 59,part,MS. Ashmole 59 - flyleaves (i-ii),MS_Ashmole_59-flyleaves,"Erased writing visible under UV on folio i v, some with hints of rubrication. Folio ii v contains a fragment of faint writing in a later hand at the foot of the page and inverted.",,,,,,,,,,,,,,,,,
MS_Ashmole_59_addition_3,manuscript_356,Ashmole,MS_Ashmole_59,MS. Ashmole 59,part,MS. Ashmole 59 – Part 1 (fols. 1–133),MS_Ashmole_59-part1,"Shirley writes a note to the reader in between two texts on folio 59v: whane yee þis boke haue overredde and seyne To Johan shirley restore yee it ageine. Shirley also annotates his own name in the margin: nota per Shirley, for instance folios 1v, 2v, 3r.",,,,,,,,,,,,,,,,,
MS_Ashmole_59_addition_4,manuscript_356,Ashmole,MS_Ashmole_59,MS. Ashmole 59,part,MS. Ashmole 59 – Part 1 (fols. 1–133),MS_Ashmole_59-part1,Every text is accompanied by a running title at the top of the page in Shirley's hand.,,,,,,,,,,,,,,,,,
MS_Ashmole_59_addition_5,manuscript_356,Ashmole,MS_Ashmole_59,MS. Ashmole 59,part,MS. Ashmole 59 – Part 1 (fols. 1–133),MS_Ashmole_59-part1,"The hand of William Brown(e) can be identified throughout in marginal annotations, often unrelated to the text. On folios ii v and 20v the phrase Prayer is an worke of the is inverted in the lower margin. Brown(e) leaves comparable marginal annotations in MS Ashmole 40.",,,,,,,,,,,,William Brown(e),person_18015860,,,,
MS_Ashmole_59_addition_6,manuscript_356,Ashmole,MS_Ashmole_59,MS. Ashmole 59,part,MS. Ashmole 59 – Part 1 (fols. 1–133),MS_Ashmole_59-part1,"Annotations appear throughout in several hands. A later hand (sixteenth century?) annotates the Secreta secretorum and the Cur mundus militat in a faded light brown ink. Another late hand of a similar period highlights a leson in Gower's Balade moral of gode counseyle on folio 17v. A seventeenth-century hand correctly identifies Chaucer's Gentillesse on folio 25r and notes that it is Printed toward the end of Chaucers works. The same hand leaves the same note on folio 37r at the beginning of Chaucer's Balade of Fortune. A fifteenth-century hand annotates Wysdome the gyfte of ' on folio 83r, now trimmed.",,,,,,,,,,,,,,,Secreta secretorum; Cur mundus militat; Balade moral of gode counseyle; Gentillesse; Balade of Fortune,,
MS_Ashmole_59_addition_7,manuscript_356,Ashmole,MS_Ashmole_59,MS. Ashmole 59,part,MS. Ashmole 59 – Part 1 (fols. 1–133),MS_Ashmole_59-part1,"Erased writing on folio 14r-v, illegible under UV.",,,,,,,,,,,,,,,,,
MS_Ashmole_59_addition_8,manuscript_356,Ashmole,MS_Ashmole_59,MS. Ashmole 59,part,MS. Ashmole 59 – Part 1 (fols. 1–133),MS_Ashmole_59-part1,"Pen trials on folios 63v-64r, 65v in a sixteenth-century hand (possibly that of John Snowe, see Provenance below). On folio 64r, possibly in the same hand, is a marginal drawing of an irregular shape with a grid pattern and containing several faces, possibly emulating a coat of arms.",,,,,,,,,,,,,,,Provenance,,
MS_Ashmole_59_addition_9,manuscript_356,Ashmole,MS_Ashmole_59,MS. Ashmole 59,part,MS. Ashmole 59 – Part 1 (fols. 1–133),MS_Ashmole_59-part1,"A later hand has numbered the texts in red pencil, imperfectly.",,,,,,,,,,,,,,,,,
MS_Ashmole_59_addition_10,manuscript_356,Ashmole,MS_Ashmole_59,MS. Ashmole 59,part,MS. Ashmole 59 – Part 2,MS_Ashmole_59-part2,A later hand annotates the chapter numbers of Lydgate's Life of Our Lady in the margin.,,,,,,,,,,,,,,,Life of Our Lady,,
MS_Ashmole_59_addition_11,manuscript_356,Ashmole,MS_Ashmole_59,MS. Ashmole 59,part,MS. Ashmole 59 – Part 2,MS_Ashmole_59-part2,Pen trials on folios 159r and 184r-v.,,,,,,,,,,,,,,,,,
MS_Ashmole_304_addition_1,manuscript_317,Ashmole,MS_Ashmole_304,MS. Ashmole 304,manuscript,,MS_Ashmole_304,"Occasional contemporary glosses. Later annotations in Middle English (fols. 31v-32r, 42r, 52v-53r, 56ar: the longer passages printed in Index of Middle English Prose: Ashmole, p. 12). Later note of missing text, fol. 59 'hic deficit versus de debito';",,,,,,,,,,,,,,,Index of Middle English Prose: Ashmole,,
MS_Ashmole_396_addition_1,manuscript_341,Ashmole,MS_Ashmole_396,MS. Ashmole 396,part,MS. Ashmole 396 || Part A || (fols. 1r-56v; 70r-203v),MS_Ashmole_396-part1,"Fol. 1r: a marginal inscription of the seventeenth century, faded, atesting to the origin of the text and its translator Guy of Valence, bishop of Tripolis. This same hand annotates this first item throughout, in Latin and English, with comments on the individuals named or the themes discussed. For instance, folio 2r on the role of John who translated the text into Arabic; and folio 23r on the wisdom of philosophers. Various nota annotations are also made throughout.",,,,,,,,,,,,,,,,,
MS_Ashmole_396_addition_2,manuscript_341,Ashmole,MS_Ashmole_396,MS. Ashmole 396,part,MS. Ashmole 396 || Part A || (fols. 1r-56v; 70r-203v),MS_Ashmole_396-part1,"The same hand annotates the explanatory text of item 6, with a note on the meridian of Oxford (fol. 68v); item 8, with a note on Aschenden's book (fol. 93r); and item 9, with a note de matromonius (fol. 152v) and others.",,,,,,,,,,,,,,,,,
MS_Ashmole_396_addition_3,manuscript_341,Ashmole,MS_Ashmole_396,MS. Ashmole 396,part,MS. Ashmole 396 || Part A || (fols. 1r-56v; 70r-203v),MS_Ashmole_396-part1,"Chapter numbering throughout both halves of composite part | A |, in the outer margins of the page and in a pale ink, perhaps medieval due to the numerals used.",,,,,,,,,,,,,,,,,
MS_Ashmole_396_addition_4,manuscript_341,Ashmole,MS_Ashmole_396,MS. Ashmole 396,part,MS. Ashmole 396 || Part B ||,MS_Ashmole_396-part2,"Seven lines of text are added at the end of the explanatory text to the planetary tables, in a contemporary hand but different to the scribe (fol. 69r).",,,,,,,,,,,,,,,,,
MS_Ashmole_396_addition_5,manuscript_341,Ashmole,MS_Ashmole_396,MS. Ashmole 396,part,MS. Ashmole 396 || Part B ||,MS_Ashmole_396-part2,The blank folio 69v has been annotated in a sixteenth century hand with a note in Latin on the astrological date and time of the birth of the son of Lord John Zowche on 10 December 1564 (see Provenance).,,,,,,,,,,,,,,,,,
MS_Ashmole_396_addition_6,manuscript_341,Ashmole,MS_Ashmole_396,MS. Ashmole 396,part,MS. Ashmole 396 || Part B ||,MS_Ashmole_396-part2,"A late fifteenth or early sixteenth century hand annotates item 9 with a single note of tresor hid (fol. 123v) and item 5 with eleven notes, for instance to the authour of this booke (fol. 180r), de maritis (fol. 181r), and who ther on shall be ryche or no (fol. 181v). The same hand leaves one note in items 12 (fol. 191r) and 13 (fol. 193r-v), and throughout item 8.",,,,,,,,,,,,,,,,,
MS_Ashmole_396_addition_7,manuscript_341,Ashmole,MS_Ashmole_396,MS. Ashmole 396,part,MS. Ashmole 396 || Part B ||,MS_Ashmole_396-part2,"Calculations are made in the margins of folios 53r, and on the stub after folio 103.",,,,,,,,,,,,,,,,,
MS_Ashmole_396_addition_8,manuscript_341,Ashmole,MS_Ashmole_396,MS. Ashmole 396,part,MS. Ashmole 396 || Part B ||,MS_Ashmole_396-part2,Erased and smudged annotations on folio 147v.,,,,,,,,,,,,,,,,,
MS_Ashmole_396_addition_9,manuscript_341,Ashmole,MS_Ashmole_396,MS. Ashmole 396,part,MS. Ashmole 396 || Part B ||,MS_Ashmole_396-part2,A later hand has copied part of the indenture from the front flyleaf onto the back flyleaf.,,,,,,,,,,,,,,,,,
MS_Ashmole_828_addition_1,manuscript_392,Ashmole,MS_Ashmole_828,MS. Ashmole 828,manuscript,,MS_Ashmole_828,"A later hand has annotated the names of several animals in the decorated borders at the beginning of the manuscript: skavernock (fols. 3r, 5r), lupus (fol. 6v), and simia (fol. 7r). The begining of one label, not (?), is cropped on folio 1r. The name skavernock possibly translates to scavenger from the Swedish skava meaning to graze.",,,,,,,,,,,,,,,,,
MS_Ashmole_828_addition_2,manuscript_392,Ashmole,MS_Ashmole_828,MS. Ashmole 828,manuscript,,MS_Ashmole_828,Fol. 1r: the initials (?) rf are written in a later hand in the lower margin.,,,,,,,,,,,,,,,,,
MS_Ashmole_828_addition_3,manuscript_392,Ashmole,MS_Ashmole_828,MS. Ashmole 828,manuscript,,MS_Ashmole_828,Fol. 88v: Henry the ryg written in a later hand and partially erased.,,,,,,,,,,,,,,,,,
MS_Ashmole_828_addition_4,manuscript_392,Ashmole,MS_Ashmole_828,MS. Ashmole 828,manuscript,,MS_Ashmole_828,"Fol. 100v: A 828, the shelf-mark, written in ink below the last passage of text.",,,,,,,,,,,,,,,,,
MS_Ashmole_828_addition_5,manuscript_392,Ashmole,MS_Ashmole_828,MS. Ashmole 828,manuscript,,MS_Ashmole_828,Modern notes in pencil on flyleaf iii v.,,,,,,,,,,,,,,,,,
MS_Ashmole_1404_addition_1,manuscript_245,Ashmole,MS_Ashmole_1404,MS. Ashmole 1404,manuscript,,MS_Ashmole_1404,"Numerous manicules have been added to the margins of the Uricrisiae, in multiple hands. Often accompanied by notes in both Latin and English.",,,,,,,,,,,,,,,Uricrisiae,,
MS_Ashmole_1404_addition_2,manuscript_245,Ashmole,MS_Ashmole_1404,MS. Ashmole 1404,manuscript,,MS_Ashmole_1404,"The manuscript shows heavy signs of use, in particular in the Uricrisiae. Several diagrams have been added to or completed, and the margins of the majority of pages have annotations or mathematical sums. There are multiple hands predominantly of the fifteenth and sixteenth centuries.",,,,,,,,,,,,,,,Uricrisiae,,
MS_Ashmole_1404_addition_3,manuscript_245,Ashmole,MS_Ashmole_1404,MS. Ashmole 1404,manuscript,,MS_Ashmole_1404,"Numerous Latin annotations in the margins of most folios which relate to the contents of the text, written in a fifteenth century hand. Eg. folios: 88v seven lines of rhyming verse (with at least one line trimmed) beginning Hora qui lune natus sit, 89r five lines of rhyming verse (incomplete) beginning Hora qui venerus natus deformus, 89v table of three lines in two columns beginning Infans loquitas | Nascor de nudas, 95v six lines of verse beginning lactea subtemus cum largo, 96r two lines beginning lactea subtemus febre de climatus. Some of these verses are from Giles of Corbeil, De urinis.",,,,Giles of Corbeil,person_71543640,,,,,,,,,,De urinis,,
MS_Ashmole_1404_addition_4,manuscript_245,Ashmole,MS_Ashmole_1404,MS. Ashmole 1404,manuscript,,MS_Ashmole_1404,"Folio 2r the blank space under the text on rosewater is filled with numerical calculations written upside down, some erased and only visible under ultraviolet light.",,,,,,,,,,,,,,,,,
MS_Ashmole_1404_addition_5,manuscript_245,Ashmole,MS_Ashmole_1404,MS. Ashmole 1404,manuscript,,MS_Ashmole_1404,"Parchment tabs have been adhered to folios 41, 49, 72, 73. Evidence of similar adhesive without the tab on nearly every other folio. The lower margin of fol. 169 has been cut in a way to create a tab without adhesive.",,,,,,,,,,,,,,,,,
MS_Ashmole_1404_addition_6,manuscript_245,Ashmole,MS_Ashmole_1404,MS. Ashmole 1404,manuscript,,MS_Ashmole_1404,"Latin running titles added to the upper margin of the majority of rectos in the Uricrisiae, in a cursive fifteenth century hand in black ink.",,,,,,,,,,,,,,,Uricrisiae,,
MS_Ashmole_1404_addition_7,manuscript_245,Ashmole,MS_Ashmole_1404,MS. Ashmole 1404,manuscript,,MS_Ashmole_1404,"Several erased annotations, now only visible under UV, to Henry IV: Regis L henry (fol. 52v), henrie le fourthe (fol. 28v).",,,,,,,,,,,,,,,,,
MS_Ashmole_1522_addition_1,manuscript_297,Ashmole,MS_Ashmole_1522,MS. Ashmole 1522,manuscript,,MS_Ashmole_1522,"A few marginal notes in more than one hand; including, fol. 12v, notes written in the first person concerning a journey from London to Calais, and thence to Neuport and Bruges, in July 1361; fol. 15r, notes of a convention at Bruges, between the Dukes of Burgundy and Anjou, and the Duke of Lancaster and the Earl of Cambridge, about peace, 29 Dec. 1375.",,,,,,,,,,,,,,,,,
MS_Auct_F_1_10_addition_1,manuscript_588,Auct F,MS_Auct_F_1_10,MS. Auct. F. 1. 10,manuscript,,MS_Auct_F_1_10,There are 16th century notes in the volume,,,,,,,,,,,,,,,,,
MS_Auct_F_5_26_addition_1,manuscript_697,Auct F,MS_Auct_F_5_26,MS. Auct. F. 5. 26,manuscript,,MS_Auct_F_5_26,There are marginalia and various nota-marks written by more than ten 15th- and 16th-century users of the volume,,,,,,,,,,,,,,,,,
