identifiers: ID,identifiers: URI (BnF),identifiers: URI (GND),identifiers: URI (ISNI),identifiers: URI (LC),identifiers: URI (Mirabile),identifiers: URI (Oxford DNB),identifiers: URI (Pinakes),identifiers: URI (SUDOC),identifiers: URI (VIAF),identifiers: URI (Wikidata),identifiers: other ref(s),identifiers: other URI(s),names: display,names: preferred,names: variant,names: crossref,names: ms,birth: birth,birth: when,birth: not before,birth: not after,birth: certainty,birth: calendar,death: death,death: when,death: not before,death: not after,death: certainty,death: calendar,floruit: floruit,floruit: when,floruit: from,floruit: to,floruit: not before,floruit: not after,floruit: certainty,floruit: calendar,biography: occupation,biography: sex,biography: nationality,biography: lang knowledge,biography: residence,biography: affiliation,bibliography: bibl(s),bibliography: note(s)
person_112,,,,,,,,,,,,,"Stawell, Avicia de, of Somerset (?), fl. 1345",,,,,,,,,,,,,,,,,,1345,1345,1345,1345,1345,,,,,,,Somerset,,,
person_113,,,,,,,,,,,,,"Aystrud, fl. 9th cent, 1st half",,,,,,,,,,,,,,,,,,,,,800,850,,,,,,,,,,
person_114,,,,,,,,,,,,,B. A. P. M.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
person_116,,,,,,,,,,,,,"Lignamine, Johannes Baptista de, bishop of Concordia, d. 1455 (?)",,,Johannes Baptista de Lignamine,,,,,,,,,1455,1455,1455,medium,,,,,,,,,,,,,,,,"Italia Sacra, V, col. 363",
person_118,,,,,,,,,,,,,"Harry, B...dy ap, 16th cent.",,,,,,,,,,,,,,,,,,,,,1500,1600,,,,,,,,,,
person_119,,,,,,,,,,,,,"Bartholomeus......monia, friar, 15th cent. (?)",,,,,,,,,,,,,,,,,,,,,1400,1500,,,,,,,,,,
person_121,,,,,,,,,,,,,"Baussancourt (?), baron (1818)",,,,,,,,,,,,,,,,,,1818,1818,1818,1818,1818,,,,,,,,,,
person_122,,,,,,,,,,,,,"Squara, Bart., fl. 1474",,,,,,,,,,,,,,,,,,1474,1474,1474,1474,1474,,,,,,,,,,
person_123,,,,,,,,,,,,,"Bassus, Bartholomaeus, notary public of Treviso, fl. 1496",,,,,,,,,,,,,,,,,,1496,1496,1496,1496,1496,,,notary public,,,,Treviso,,,
person_124,,,,,,,,,,,,,"Fabri, Bartholomaeus, of Picardy, fl. 1453",,,,,,,,,,,,,,,,,,1453,1453,1453,1453,1453,,,,,,,,,,
person_125,,,,,,,,,,,,,"Helvetius, Bartholomaeus, curate of St. Mary, Veldkirchen, Carinthia, 1589",,,,,,,,,,,,,,,,,,1589,1589,1589,1589,1589,,,,,,,,,,
person_126,,,,,,,,,,,,,"Paruta, Bartholomeo, fl. c. 1450",,,,,,,,,,,,,,,,,,1450,1450,1450,1450,1450,medium,,,,,,,,,
person_127,,,,,,,,,,,,,"Quisleriis (sic), Bartholomaeus de, of Bologna, fl. 1466",,,,,,,,,,,,,,,,,,1466,1466,1466,1466,1466,,,,,,,Bologna,,,
person_128,,,,,,,,,,,,,"Bartholomeo de Pic[?e]got[is], friar, 15th cent. (?)",,,,,,,,,,,,,,,,,,,,,1400,1500,,,,,,,,,,"Cf. Bartholomeus de Pizegottis de Padua, OP, fl. 1444"
person_129,,,,,,,,,,,History of Parliament,http://www.historyofparliamentonline.org/volume/1386-1421/member/brokesby-bartholomew-1448,"Brokesby, Bartholomew, of Frisby-on-the-Wreak, Leicesterhire, –1448",,,,,,,,,,,,1448,1448,1448,,,,,,,,,,,,,,,Frisby-on-the-Wreak,,,
person_134,,,,,,,,,,,,,"Strozi, Bartolomeo, fl. before 1457",,,,,,,,,,,,,,,,,,,,,,1457,,,,,,,,,,
person_135,,,,,,,,,,,,,"Zabarella, Bartolomeo, archbishop of Spalato (Split) (1428–1439)",,,Bartolomeo Zabarella,,,,,,,,,,,,,,,,,,1428,1439,,,,,,,,,,
person_136,,,,,,,,,,,,,"Mairas, Bartolomeo de, fl. 15th cent., 2nd quarter",,,,,,,,,,,,,,,,,,,,,1425,1450,,,,,,,,,,
person_137,,,,,,,,,,,,,"Carpi, Bartolomeo de, of Vicenza, 15th cent.",,,,,,,,,,,,,,,,,,,,,1400,1500,,,,,,,Vicenza,,,
person_139,,,,,,,,,,,,,"Basset, family, of High Wycombe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,High Wycombe,,,
person_140,,,,,,,,,,,,,"Bateman, family, of Middleton Hall, Youlgrave",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Middleton Hall, Youlgrave",,,
person_141,,,,,,,,,,,,,"Ugstall, Batho de, 16th cent.",,,,,,,,,,,,,,,,,,,,,1500,1600,,,,,,,,,,
person_142,,,,,,,,,,,,,"Sansone, Battista, of Padua, fl. c. 1400",,,,,,,,,,,,,,,,,,1400,1400,1400,1400,1400,,,,,,,Padua,,,
person_144,,,,,,,,,,,,,"D'Ailly, Baudoin (Beaugeois), Vidame of Amiens, 1355–1415",,,,,,1355,1355,1355,,,,1415,1415,1415,,,,,,,,,,,,,,,,,,
person_145,,,,,,,,,,,,,"Ross, Beatrice, of London (?), fl. before 1414",,,,,,,,,,,,,,,,,,,,,,1414,,,,,,,London,,,
person_146,,,,,,,,,,,,,"Beauchamp, family, earls of Warwick",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
person_147,,,,,http://www.mirabileweb.it/author/benedictus-bursa-fl-saec-xv-med--author/24019,,,,,,,,"Benedictus Bursa, fl. c. 1450",,,"Bursa, Benedictus",,,,,,,,,,,,,,,1450,1450,1450,1450,1450,,,,,,,,,CALMA II.206,
person_148,,,,,,,,,,,,,"Spineli, Benetto, 16th cent.",,,,,,,,,,,,,,,,,,,,,1500,1600,,,,,,,,,,
person_149,,,,,,,,,,,,,"Berlaymont (Berlaimont), family, of Berlaimont, Hierges, Péruwelz, and Beauraing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Berlaimont, Hierges, Péruwelz, and Beauraing",,,
person_154,,,,,,,,,,,,,"Carnesecchi, Bernardo di Cristofano, fl. 1478",,,,,,,,,,,,,,,,,,1478,1478,1478,1478,1478,,,,,,,,,,
person_155,,,,,,,,,,,,,"Bertholdus de Marmore, vicar of St. Kylian, Würzburg, fl. 1172–95",,Bertholdus vicarius,,,,,,,,,,,,,,,,,,,1195,1172,,,,,,,,,"Daniela Mairhofer, Medieval Manuscripts from Würzburg in the Bodleian Library, Oxford: A Descriptive Catalogue (Oxford, 2014), p. 182.",
person_157,,,,,,,,,,,,,"Bezborodko Master(s), fl. 1490",,,,,,,,,,,,,,,,,,1490,1490,1490,1490,1490,,,,,,,,,,
person_158,,,,,,,,,,,,,"Bible Master of the First Generation, c. 1430",,,,,,,,,,,,,,,,,,1430,1430,1430,1430,1430,medium,,,,,,,,,
person_159,,,,,,http://www.oxforddnb.com/view/article/4664,,,,,,,"St. Calais (St. Carilef), William of (c. 1030–1096), bishop of Durham",,,,,,1030,1030,1030,low,,,1096,1096,1096,,,,,,,,,,,,,,,,,,
person_161,,,,,,,,,,,,,"Bledian, 10th cent.",,,,,,,,,,,,,,,,,,,,,900,1000,,,,,,,,,,
person_163,,,,,,,,,,,,,"Bonifazio, fl. 1456",,,,,,,,,,,,,,,,,,1456,1456,1456,1456,1456,,,,,,,,,,
person_164,,,,,,,,,,,,,"Borstall, 15th cent.",,,,,,,,,,,,,,,,,,,,,1400,1500,,,,,,,,,,
person_165,,,,,,,,,,,CCEd,http://db.theclergydatabase.org.uk/jsp/persons/DisplayPerson.jsp?PersonID=14939,"Dixon, Bright, fl. c. 1687–96, curate of Leeds",,,,,,,,,,,,,,,,,,,,,1687,1696,,,,,,,,,,
person_166,,,,,,,,,,,,,"Isola della Scala, fr. Stephen of, fl. 1646–76",,,Stephen of Isola della Scala,,,,,,,,,,,,,,,,,,1646,1676,,,,,,,Mantua,,,
person_168,,,,,,,,,,,History of Parliament; Dictionary of Welsh Biography (on Davies-Cooke family),http://www.historyofparliamentonline.org/volume/1790-1820/member/cooke-bryan-1756-1821 http://yba.llgc.org.uk/en/s-DAVI-COO-1200.html,"Cooke, Bryan (1756–1821), of Owston, Yorks.",,,,,,1756,1756,1756,,,,1821,1821,1821,,,,,,,,,,,,,,,Owston,,,
person_169,,,,,,,,,,,,,"Bull (?), fl. 1891",,,,,,,,,,,,,,,,,,1891,1891,1891,1891,1891,,,,,,,,,,
person_170,,,,,,,,,,,,,"Butt (?), fl. 1891",,,,,,,,,,,,,,,,,,1891,1891,1891,1891,1891,,,,,,,,,,
person_171,,,,,,,,,,,,,"Bell, C. F.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
person_172,,,,,,,,,,,,,"Hudson, Rev. C. H. Bickerton, fl. 20th cent., 1st half",,,,,,,,,,,,,,,,,,,,,1900,1950,,,,,,,,,,
person_173,,,,,,,,,,,,,"Reynell, C. H., of Memphis, Tennessee, early 20th cent.",,,,,,,,,,,,,,,,,,,,,1900,1950,medium,,,,,,Memphis,,,
person_174,,,,,,,,,,,,,"Fairfax, C. I. [Charles, d. 1673?]",,,,,,,,,,,,1673,1673,1673,low,,,,,,,,,,,,,,,,,
person_175,,,,,,,,,,,Bod-Inc,http://incunables.bodleian.ox.ac.uk/provenance/record/1833,"Inglis, Charles, MD, 19th cent.",,,,,,,,,,,,,,,,,,,,,1800,1900,,,,,,,,,,
person_177,,,,,,,,,,,,,"Duc, C. L., of Lille",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lille,,,
person_178,,,,http://id.loc.gov/authorities/names/no97069429,,,,,http://viaf.org/viaf/11915555,,,,"Ricketts, Coella Lindsay (1859–1941), calligrapher and illuminator, of Chicago",,,,,,1859,1859,1859,,,,1941,1941,1941,,,,,,,,,,,,,,,Chicago,,,
person_184,,,,,,http://www.oxforddnb.com/view/article/26038,,,,,,,"Sotheby, Charles William Hamilton, of Ecton Hall (1820–1887)",,,,,,1820,1820,1820,,,,1887,1887,1887,,,,,,,,,,,,,,,"Ecton Hall, Northants.",,,
person_186,,,,,,,,,,,,,"Rose, C. H., fl. c. 1916–1930",,,,,,,,,,,,,,,,,,,,,1916,1930,,,,,,,,,,
person_187,,,,,,,,,,,,,"Caesar Master, mid 15th cent.",,,,,,,,,,,,,,,,,,,,,1440,1460,,,,,,,,,,
person_188,,,,,,,,,,,,,"Beldemandis, Candus, nephew of Prosdocimus, fl. 1435",,,,,,,,,,,,,,,,,,1435,1435,1435,1435,1435,,,,,,,,,,
person_189,,,,,,,,,,,,,"Redway, Capt. G. E., R. N., fl. 1932",,,,,,,,,,,,,,,,,,1932,1932,1932,1932,1932,,,,,,,,,,
person_190,,,,,,,,,,,,,"Littledale, Capt. H., 19th cent.",,,,,,,,,,,,,,,,,,,,,1800,1900,,,,,,,,,,
person_191,,,,,,,,,,,,,"Cane, Francis du, captain, fl. 1854–8",,,,,,,,,,,,,,,,,,,,,1854,1858,,,,,,,,,,
person_192,,,,,,,,,,,,,"Carpenter, 15th cent., 2nd half",,,,,,,,,,,,,,,,,,,,,1450,1500,,,,,,,,,,
person_193,,,,,,,,,,,,,"Cavazzi della Somaglia, family, of Milan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Milan,,,
person_194,,,,,,,,,,,,,"Howard, Charles, fl. 1928",,,,,,,,,,,,,,,,,,1928,1928,1928,1928,1928,,,,,,,,,,
person_195,,,,,,,,,,,,,"Martin, Charles, of Dartington, fl. 1872",,,,,,,,,,,,,,,,,,1872,1872,1872,1872,1872,,,,,,,Dartingdon,,,
